Petition,URL,State,Signatures Count
Deport all foreign and dual nationals convicted of any crime in the UK,https://petition.parliament.uk/petitions/574896,open,525
Ban advertising for personal loans and credit,https://petition.parliament.uk/petitions/583732,open,9
"Allow visa-free travel for Indian, Pakistani and Bangladeshi citizens 90 days",https://petition.parliament.uk/petitions/590994,open,12
Fund Free Period Products - it is not a LUXURY.,https://petition.parliament.uk/petitions/599377,open,149
1% deposit on purchasing a property prior to offer acceptance to avoid pull outs,https://petition.parliament.uk/petitions/599431,open,27
Give Asylum Seekers right to work 4 weeks after arrival in UK,https://petition.parliament.uk/petitions/599435,open,23
Increase funding for treating borderline learning or personality disorders,https://petition.parliament.uk/petitions/599657,open,16
Require dogs to be kept on a lead at all times when in public,https://petition.parliament.uk/petitions/599677,open,750
Recommend primary schools encourage unvaccinated students to wear face masks,https://petition.parliament.uk/petitions/599707,open,27
Provide interest-free loans for Muslim students progressing into university!,https://petition.parliament.uk/petitions/599764,open,72
"Remove VAT on AED machines, first aid courses and first aid supplies",https://petition.parliament.uk/petitions/599904,open,18
Ban balloon releases which are harmful to wildlife,https://petition.parliament.uk/petitions/599983,open,947
"Revoke local government powers to charge CAZ, LEZ, and ULEZ.",https://petition.parliament.uk/petitions/599985,open,55076
Apply the proposed 5% duty reduction on beer to any container over 30 litres,https://petition.parliament.uk/petitions/600010,open,46
Limit political donations to equivalent of average UK yearly salary,https://petition.parliament.uk/petitions/600043,open,106
Fund research into the mental health benefits of spray tanning,https://petition.parliament.uk/petitions/600086,open,10
Allow children 7 days holiday per year during term time without fines,https://petition.parliament.uk/petitions/600111,open,1314
Disqualify those with sexual offence convictions from standing as an MP,https://petition.parliament.uk/petitions/600127,open,83
Make spiking with needles a specific offence with a minimum 5-year sentence,https://petition.parliament.uk/petitions/600135,open,47
Revoke immunity from prosecution for sovereigns or other heads of State,https://petition.parliament.uk/petitions/600154,open,123
Fine those who fail to attend their NHS appointments,https://petition.parliament.uk/petitions/600157,open,42
Introduce mandatory licensing and regulation of animal rescue centres,https://petition.parliament.uk/petitions/600174,open,1403
Make it a legal requirement for nightclubs to search guests with x-ray scanners,https://petition.parliament.uk/petitions/600192,open,16
Fund bubble barriers in the Thames to stop plastic from reaching the ocean,https://petition.parliament.uk/petitions/600193,open,47
Increase UC by £20/week for disabled claimants with limited capability to work.,https://petition.parliament.uk/petitions/600198,open,60
Ban the use of advertising in virtual and augmented reality,https://petition.parliament.uk/petitions/600219,open,25
"Ban Glass, Aluminium and Steel food and drink containers",https://petition.parliament.uk/petitions/600221,open,21
"Hold a public inquiry into child sexual exploitation in Bradford, West Yorkshire",https://petition.parliament.uk/petitions/600228,open,76
Abolish the 25% threshold for changes in income to trigger CMS recalculation,https://petition.parliament.uk/petitions/600231,open,371
Stronger Legal Framework to Ensure Carbon Neutrality Targets,https://petition.parliament.uk/petitions/600234,open,25
Fund the creation of cottage hospitals to free up acute NHS beds.,https://petition.parliament.uk/petitions/600238,open,37
Increase funding for drug and alcohol treatment services,https://petition.parliament.uk/petitions/600240,open,129
Create and implement a strategy for eradicating child poverty,https://petition.parliament.uk/petitions/600249,open,86
Increase funding for crisis and acute mental health services,https://petition.parliament.uk/petitions/600251,open,266
Create a new regulatory body to oversee town and parish councils,https://petition.parliament.uk/petitions/600252,open,38
Education system reform for children with high functioning autism,https://petition.parliament.uk/petitions/600254,open,75
Introduce an official Safety Rating system for Nightlife Venues,https://petition.parliament.uk/petitions/600256,open,608
New build properties should be built with eco-friendly facilities.,https://petition.parliament.uk/petitions/600316,open,65
Change the legal age for buying alcohol from 18 to 16,https://petition.parliament.uk/petitions/600317,open,29
Require all ships in UK ports to be inspected for compliance with MLC 2006,https://petition.parliament.uk/petitions/600320,open,31
Exempt NHS and emergency workers from standard rate income tax,https://petition.parliament.uk/petitions/600325,open,35
Give grandparents the legal right to see their Grandchildren,https://petition.parliament.uk/petitions/600326,open,98
Make it mandatory for every building to be accessible for wheelchairs,https://petition.parliament.uk/petitions/600329,open,147
Extend statutory bereavement awards to stillborn babies,https://petition.parliament.uk/petitions/600333,open,992
Take action to make entering the UK illegally extremely unattractive for adults,https://petition.parliament.uk/petitions/600378,open,8722
Rename the British Empire awards like OBE MBE etc,https://petition.parliament.uk/petitions/600387,open,29
Make under 18s eligible for two Blue Badges so both parents can have one,https://petition.parliament.uk/petitions/600394,open,52
Introduce a regulator and ombudsman for the courier industry,https://petition.parliament.uk/petitions/600396,open,260
Create a Security Workers Act,https://petition.parliament.uk/petitions/600399,open,3480
Require bold environment warnings on wasteful food and drink packaging.,https://petition.parliament.uk/petitions/600413,open,24
Introduce Paid Miscarriage Leave,https://petition.parliament.uk/petitions/600415,open,41
Require all new buildings and homes to include solar panels,https://petition.parliament.uk/petitions/600430,open,108
Create new green planning requirements for residential properties,https://petition.parliament.uk/petitions/600451,open,34
Link public sector pay to inflation,https://petition.parliament.uk/petitions/600455,open,24
Reform council tax to a 0.48% charge of the current property value,https://petition.parliament.uk/petitions/600473,open,56
Fund free school meals for all students year-round,https://petition.parliament.uk/petitions/600474,open,63
Remove powers for local councils to fine when children are absent from school.,https://petition.parliament.uk/petitions/600483,open,58
To set a minimum age limit for ear piercing,https://petition.parliament.uk/petitions/600495,open,21
Ban garden and allotment fires.,https://petition.parliament.uk/petitions/600497,open,45
Review access to healthcare for people with a learning disability,https://petition.parliament.uk/petitions/600499,open,25
Bonuses should be tax-free.,https://petition.parliament.uk/petitions/600501,open,21
Hold a referendum on introducing proportional representation to elect MPs,https://petition.parliament.uk/petitions/600502,open,69
Amend the British Museum Act 1963,https://petition.parliament.uk/petitions/600509,open,234
Require any MP or Peer convicted of a criminal offence be removed from office,https://petition.parliament.uk/petitions/600515,open,1236
Create a new register and regulatory body for Advanced Clinical Practitioners,https://petition.parliament.uk/petitions/600522,open,15
Introduce mandatory carbon footprint ratings for all goods and services,https://petition.parliament.uk/petitions/600524,open,110
Make it a criminal offence to consume cat or dog meat in the UK,https://petition.parliament.uk/petitions/600543,open,99
"DO NOT ban the manufacture, import, sale and use of fireworks",https://petition.parliament.uk/petitions/600545,open,18
Increase the minimum sentence for stealing a motor vehicle to five years,https://petition.parliament.uk/petitions/600561,open,1216
Ban MPs from other paid work or holding shares in companies,https://petition.parliament.uk/petitions/600571,open,188
Recognise immune response to Covid-19 in the Covid pass,https://petition.parliament.uk/petitions/600576,open,305
Ban developments on Green belt and Greenfield sites across the country,https://petition.parliament.uk/petitions/600577,open,13922
Review and increase expense rates for travelling outside the UK for work,https://petition.parliament.uk/petitions/600579,open,4677
Fund epipen points for anaphylaxis sufferers in public spaces,https://petition.parliament.uk/petitions/600581,open,167
Exempt contacts with an EU Digital COVID Certificate from self-isolation,https://petition.parliament.uk/petitions/600590,open,33
Make the use of free-running snares illegal for trapping wildlife,https://petition.parliament.uk/petitions/600593,open,102550
Legally Protect the titles 'Psychotherapist' and 'Counsellor' for Safeguarding,https://petition.parliament.uk/petitions/600594,open,24
Replace the House of Lords with a wholly elected body.,https://petition.parliament.uk/petitions/600595,open,117
Commission a review of racism in cricket,https://petition.parliament.uk/petitions/600654,open,51
Ban the sale of plastic wet wipes; affordable alternatives are widely available,https://petition.parliament.uk/petitions/600659,open,452
Fund counselling for all adolescent victims of sexual abuse,https://petition.parliament.uk/petitions/600660,open,24
Introduce statutory licensing & regulation of builders and construction workers,https://petition.parliament.uk/petitions/600670,open,168
Make loans for private mental health services available to university students,https://petition.parliament.uk/petitions/600674,open,121
Fund additional specialist school capacity for children with disabilities & SEN,https://petition.parliament.uk/petitions/600677,open,125
Ban MPs from paid lobbying,https://petition.parliament.uk/petitions/600685,open,120
Make working from home a legal right to help cut co2 emissions.,https://petition.parliament.uk/petitions/600686,open,44
Make public transport free like it is in Luxembourg,https://petition.parliament.uk/petitions/600692,open,91
Recognise the Nikah as a legal form of marriage,https://petition.parliament.uk/petitions/600694,open,674
Tax meat to help tackle the climate crisis,https://petition.parliament.uk/petitions/600715,open,176
Plant one native tree for each UK resident to commemorate the Queen’s Jubilee.,https://petition.parliament.uk/petitions/600747,open,38
Fund increased police numbers in England and Wales,https://petition.parliament.uk/petitions/600750,open,323
Require EHCPs for all SEN children and those with a diagnosed disability,https://petition.parliament.uk/petitions/600754,open,81
Extend the ban on plastic microbeads and other microplastics,https://petition.parliament.uk/petitions/600777,open,55
Require the Union Flag on all new UK number plates.,https://petition.parliament.uk/petitions/600790,open,4239
Prohibit convicted sex offenders changing their name or using social media,https://petition.parliament.uk/petitions/600799,open,632
Free school meal vouchers to cover the school holidays,https://petition.parliament.uk/petitions/600800,open,16
Make the day of Diwali a public holiday,https://petition.parliament.uk/petitions/600808,open,17469
Subsidise the conversion of Euro 5 diesel engines to Euro 6.,https://petition.parliament.uk/petitions/600811,open,51
Grant all prisoners the right to vote in general elections,https://petition.parliament.uk/petitions/600814,open,20
Increase funding to reduce the backlog of elective surgeries,https://petition.parliament.uk/petitions/600826,open,64
Seek to rejoin the EU,https://petition.parliament.uk/petitions/600832,open,10564
"Extend annual £5,000 bursaries to medical students",https://petition.parliament.uk/petitions/600838,open,89
Ban MPs from having second jobs,https://petition.parliament.uk/petitions/600866,open,215
Do not make COVID vaccination a requirement for health and social care workers,https://petition.parliament.uk/petitions/600872,open,13357
Requirement planning permission to use/let a residential property for holidays,https://petition.parliament.uk/petitions/600881,open,904
Require new large buildings include renewable energy generation,https://petition.parliament.uk/petitions/600894,open,105
Install higher barriers or fencing along the Dartford Bridge,https://petition.parliament.uk/petitions/600899,open,138
Pressure all governments to assist migrants on Belarus/Poland border.,https://petition.parliament.uk/petitions/600911,open,495
Increase Taxes on Animal Products and Fund Vegan Groups and Animal Charities,https://petition.parliament.uk/petitions/600920,open,104
Make politics a compulsory subject from years 7 - 9,https://petition.parliament.uk/petitions/600922,open,32
Minimum 6 months in prison for assaulting any member of the emergency services.,https://petition.parliament.uk/petitions/600924,open,18
The Government should recognise the Holodomor as genocide,https://petition.parliament.uk/petitions/600947,open,66
Reduce or remove VAT on low emission vehicles in order to speed up adoption,https://petition.parliament.uk/petitions/600950,open,24
"Do not implement proposed new offences for vehicle ""tampering""",https://petition.parliament.uk/petitions/600954,open,115213
Make the minimum wage equal for all,https://petition.parliament.uk/petitions/600960,open,65
Increase the HMRC Mileage Rate from 45p/mile to 60p/mile,https://petition.parliament.uk/petitions/600966,open,4428
Introduce new requirements for dog ownership,https://petition.parliament.uk/petitions/600968,open,83
Those found in breach of MPs Code of Conduct must not be appointed to the Lords,https://petition.parliament.uk/petitions/600970,open,61
Remove the Immigration Skill Charge for jobs on the Shortage Occupation list,https://petition.parliament.uk/petitions/600971,open,56
Allow nurses to apply for the Health and Care Worker Visa in-country,https://petition.parliament.uk/petitions/600974,open,80
Exempt first and second generation migrants from inheritance tax.,https://petition.parliament.uk/petitions/600979,open,60
Require the return of all marked exams and recordings to students,https://petition.parliament.uk/petitions/600984,open,19
Require all educational settings to have a bereavement policy,https://petition.parliament.uk/petitions/600992,open,1285
Review powers for tackling obstructive protesters and their organisers,https://petition.parliament.uk/petitions/600994,open,35
Offer student finance in monthly instalments,https://petition.parliament.uk/petitions/601007,open,19
Ratify and implement the Istanbul Convention,https://petition.parliament.uk/petitions/601032,open,76
Change the voting system from First Past the Post to Proportional Representation,https://petition.parliament.uk/petitions/601055,open,1197
Make telephone and text messaging cold calling illegal,https://petition.parliament.uk/petitions/601059,open,46
Provide funding to ITT providers to give trainee teachers a salary.,https://petition.parliament.uk/petitions/601066,open,53
Promote organ donation with option to stop families overruling donor's wishes,https://petition.parliament.uk/petitions/601067,open,596
Ban all advertisement of gambling,https://petition.parliament.uk/petitions/601108,open,104
Ban the use of muzzles on dogs,https://petition.parliament.uk/petitions/601116,open,13
Commission a review into the diagnosis and treatment of SIBO,https://petition.parliament.uk/petitions/601135,open,537
Make spiking by injection a specific criminal offence,https://petition.parliament.uk/petitions/601138,open,102
Reduce UK citizenship fees to £372,https://petition.parliament.uk/petitions/601143,open,298
"Fund research into cannabis and review restrictions on production, sale and use",https://petition.parliament.uk/petitions/601153,open,142
"Have a fresh Independent Inquiry into MP's Salaries, Expenses and Standards.",https://petition.parliament.uk/petitions/601166,open,71
"Ban MPs from holding second jobs outside of the public sector
 
",https://petition.parliament.uk/petitions/601188,open,27
Only fund renewable energy projects manufactured in the UK,https://petition.parliament.uk/petitions/601189,open,65
Create a binding contract for MPs,https://petition.parliament.uk/petitions/601194,open,46
Restrict Cat 3 fireworks to professionals & require licences for Cat 2 fireworks,https://petition.parliament.uk/petitions/601198,open,164
Abolish detention outside school sessions,https://petition.parliament.uk/petitions/601200,open,43
Make people who recently recovered from Covid-19 exempt from self-isolation,https://petition.parliament.uk/petitions/601202,open,100
Propose and back a global WTO carbon tax at COP 27,https://petition.parliament.uk/petitions/601204,open,19
Increase mobility scooter maximum speed limit on roads to 15mph,https://petition.parliament.uk/petitions/601207,open,72
Require primary schools to have separate male and female changing facilities,https://petition.parliament.uk/petitions/601215,open,54
Increase State Pensions to £400 a week and fund free adult social care for all,https://petition.parliament.uk/petitions/601218,open,3208
Abolish Election Deposits.,https://petition.parliament.uk/petitions/601225,open,72
Widen access to Child Sex Offenders Disclosure Scheme to partners,https://petition.parliament.uk/petitions/601231,open,306
Provide emergency funding to local authorities to improve social care,https://petition.parliament.uk/petitions/601233,open,226
Set up a national harms reporting scheme for non-pharmacological treatments,https://petition.parliament.uk/petitions/601237,open,522
Move start of BST forward to the last Sunday in February,https://petition.parliament.uk/petitions/601240,open,30
Ban noisy fireworks for anything other than public display,https://petition.parliament.uk/petitions/601260,open,75
Require audio visual recordings of all meetings involving social services,https://petition.parliament.uk/petitions/601261,open,45
Make the day after Remembrance Sunday a Public Holiday,https://petition.parliament.uk/petitions/601262,open,109
Make those who have paid class 1 NI for 5 years eligible for ILR,https://petition.parliament.uk/petitions/601282,open,16
Increase the tax-free approved Mileage Allowance Payment rate and review yearly,https://petition.parliament.uk/petitions/601286,open,1982
Ban sale and use of Leaf Blowers,https://petition.parliament.uk/petitions/601287,open,54
Fund a programme of mass testing and public education to reduce risk of strokes,https://petition.parliament.uk/petitions/601288,open,25
Pass an Indoor Clean Air Act,https://petition.parliament.uk/petitions/601316,open,1211
Make self-employed people eligible for statutory adoption pay,https://petition.parliament.uk/petitions/601323,open,16256
Ban the sale and use of rat poison.,https://petition.parliament.uk/petitions/601327,open,110
Remove the English test for EU registered nurses to become registered in the UK,https://petition.parliament.uk/petitions/601334,open,33
Amend the Football Offences Act to include gestures and homophobic behaviour,https://petition.parliament.uk/petitions/601340,open,461
Move Parliament and associated activities of Parliament to Manchester.,https://petition.parliament.uk/petitions/601341,open,18
Make non-binary a legally recognised gender identity,https://petition.parliament.uk/petitions/601354,open,128
Include financial education in the national curriculum for primary schools,https://petition.parliament.uk/petitions/601359,open,25
Scrap Sunday Trading Laws,https://petition.parliament.uk/petitions/601361,open,44
Re-nationalise the railways and provide better services to passengers,https://petition.parliament.uk/petitions/601362,open,68
Allow the Local Government Ombudsman to regulate town and parish councils.,https://petition.parliament.uk/petitions/601363,open,112
Extend concessionary bus passes for the elderly and disabled to all hours,https://petition.parliament.uk/petitions/601369,open,70
Do not include language about protests in any DfE strategies,https://petition.parliament.uk/petitions/601372,open,884
Reintroduce the Education Maintenance Allowance (EMA),https://petition.parliament.uk/petitions/601391,open,114
Abolish gift tax and inheritance tax,https://petition.parliament.uk/petitions/601403,open,54
Review and reform the family court system to ensure equal treatment,https://petition.parliament.uk/petitions/601404,open,146
"Regulate the hair, beauty, holistic and aesthetic industries",https://petition.parliament.uk/petitions/601413,open,198
Prohibit the sale and use in the UK of palm oil and its derivatives in foods,https://petition.parliament.uk/petitions/601415,open,894
Provide funding for bleed control kits to be made available in public places,https://petition.parliament.uk/petitions/601421,open,17
Make vaccination against COVID-19 a condition of deployment for police officers,https://petition.parliament.uk/petitions/601448,open,19
Make non-payment of child maintenance a criminal offence,https://petition.parliament.uk/petitions/601484,open,1443
Ban the sale and use of artificial grass for residential properties,https://petition.parliament.uk/petitions/601485,open,2918
Fund expansion of A21 to dual carriageway ,https://petition.parliament.uk/petitions/601490,open,50
Fund a Vitamin D awareness campaign with free tests and supplements for all,https://petition.parliament.uk/petitions/601498,open,20
Fund a £500 bonus for social care workers in England,https://petition.parliament.uk/petitions/601509,open,587
Review arrangements for the release of offenders with mental health issues.,https://petition.parliament.uk/petitions/601517,open,1187
Increase Minimum Sentence for Assaulting Emergency Workers to Two Years Prison,https://petition.parliament.uk/petitions/601531,open,136
Require planning permission for removing any trees on brownfield,https://petition.parliament.uk/petitions/601535,open,88
Prohibit schools from having CCTV in toilets or changing rooms,https://petition.parliament.uk/petitions/601538,open,46
Commission a review into racial inequalities in the criminal justice system,https://petition.parliament.uk/petitions/601543,open,109
Commit to building the eastern leg of HS2 to Leeds,https://petition.parliament.uk/petitions/601544,open,379
Abolish the House of Lords,https://petition.parliament.uk/petitions/601567,open,2674
Remove Clause 9 from the Nationality and Borders Bill,https://petition.parliament.uk/petitions/601583,open,326864
Require packaging of animal products to show images of the manufacture process,https://petition.parliament.uk/petitions/601587,open,41
Abolish quarantine requirements when entering the UK from a non-red list country,https://petition.parliament.uk/petitions/601594,open,113
Remove the form field ‘Title’ from all government forms,https://petition.parliament.uk/petitions/601608,open,16
Do not remove anyone's British citizenship,https://petition.parliament.uk/petitions/601611,open,513
"Ban the mining of and trade in ""proof of work"" cryptocurrencies within the UK",https://petition.parliament.uk/petitions/601629,open,777
"Create a national document checking service, to prevent loss in the post",https://petition.parliament.uk/petitions/601639,open,2807
Ban lollipops,https://petition.parliament.uk/petitions/601657,open,19
Add disability awareness to the national curriculum,https://petition.parliament.uk/petitions/601659,open,264
Protect animals! Ban the sales and use of toxic antifreeze,https://petition.parliament.uk/petitions/601668,open,476
Make St George’s Day a national holiday in England,https://petition.parliament.uk/petitions/601672,open,99
Increase information about the vaccination status of people who die from COVID,https://petition.parliament.uk/petitions/601678,open,73
Ban discrimination against potential tenants on Universal Credit,https://petition.parliament.uk/petitions/601679,open,64
Fast-track rollout of Covid vaccine in 5-11s post MHRA approval,https://petition.parliament.uk/petitions/601680,open,5910
"Ban the Sale and Killing, including Live Boiling, of Crustaceans",https://petition.parliament.uk/petitions/601697,open,150
Increase regulation of animal sales,https://petition.parliament.uk/petitions/601708,open,1356
Increase diversity of the history curriculum,https://petition.parliament.uk/petitions/601718,open,28
Implement reforms to deal with illegal immigration,https://petition.parliament.uk/petitions/601727,open,581
Increase punishments for illegal dumping of sewage in UK waters,https://petition.parliament.uk/petitions/601730,open,38
Impose a fit and proper persons test for social care companies,https://petition.parliament.uk/petitions/601736,open,50
Increase NHS dental care funding to improve availability for child and adults,https://petition.parliament.uk/petitions/601744,open,175
Hold COBR meetings to address the climate emergency,https://petition.parliament.uk/petitions/601746,open,37
"Increase the Disabled Facilities Grant to £60,000.",https://petition.parliament.uk/petitions/601750,open,293
Create a fund for enforcement of road traffic offences by cyclists and scooters ,https://petition.parliament.uk/petitions/601752,open,49
Work with the EU to improve animal welfare standards across Europe,https://petition.parliament.uk/petitions/601766,open,28
Require universities to refund students during any strike action,https://petition.parliament.uk/petitions/601792,open,12175
Make it a legal duty to report when a dog attacks or kills a cat,https://petition.parliament.uk/petitions/601795,open,4508
Ban demonstrations and protests outside facilities that provide abortions,https://petition.parliament.uk/petitions/601809,open,39
Fund self-defence classes for women and girls to help them protect themselves,https://petition.parliament.uk/petitions/601815,open,22
Extend the COVID-19 temporary visa concessions for international students,https://petition.parliament.uk/petitions/601819,open,23
Give U.K. pensioners living abroad increases with parity as those in the U.K.,https://petition.parliament.uk/petitions/601821,open,10874
Make it easier to end parental responsibility of absent parents,https://petition.parliament.uk/petitions/601826,open,38
Install additional safety measures on the Orwell Bridge in Suffolk,https://petition.parliament.uk/petitions/601839,open,2287
Reduce and freeze student loan interest rates at 1.5% per annum,https://petition.parliament.uk/petitions/601845,open,133
"Drop the ""urban bus"" exemption from laws requiring seatbelts on buses",https://petition.parliament.uk/petitions/601847,open,171
Require wildlife crossings to be added to all roads,https://petition.parliament.uk/petitions/601851,open,402
Reinstate contact tracing requirement for schools,https://petition.parliament.uk/petitions/601858,open,35
Change the law so charities can exist for the political purpose of changing law,https://petition.parliament.uk/petitions/601859,open,7156
Provide more integrated healthcare and education to protect children,https://petition.parliament.uk/petitions/601862,open,61
Require shops to close on Boxing Day to give retail workers a holiday,https://petition.parliament.uk/petitions/601874,open,44
Ban full face coverings being worn in public,https://petition.parliament.uk/petitions/601894,open,167
Ban tethered housing systems for cattle,https://petition.parliament.uk/petitions/601897,open,65
Make it mandatory for Police & CPS to provide counselling to ALL victims of CSA,https://petition.parliament.uk/petitions/601899,open,1289
Ban the Use of Artificial Insemination on Animals,https://petition.parliament.uk/petitions/601902,open,108
Hold a referendum on the abolition of the House of Lords,https://petition.parliament.uk/petitions/601907,open,511
Recognise LGBTQ+ parents equally on UK birth certificates,https://petition.parliament.uk/petitions/601909,open,3581
Require GP surgeries to accept repeat prescription orders by phone,https://petition.parliament.uk/petitions/601930,open,38
Do not restrict our right to freedom of expression online. ,https://petition.parliament.uk/petitions/601932,open,46445
Change the law to enable sectioning for alcoholism,https://petition.parliament.uk/petitions/601941,open,70
Require sentences for child sexual offences be served consecutively,https://petition.parliament.uk/petitions/601956,open,859
Don't offer covid-19 vaccine to 5-11 year olds until phase 3 trials complete,https://petition.parliament.uk/petitions/601959,open,11065
Increase minimum and maximum sentences for child sexual offences,https://petition.parliament.uk/petitions/601962,open,38
Reform highways maintenance funding to reflect traffic volume,https://petition.parliament.uk/petitions/601963,open,5125
Allow British Citizens and UK residents to quarantine in their own homes.,https://petition.parliament.uk/petitions/601967,open,124
Take action to tackle illegal crossings over the Channel,https://petition.parliament.uk/petitions/601969,open,3844
Urge Hong Kong to release all political prisoners and safeguard human rights,https://petition.parliament.uk/petitions/601971,open,12358
Bring back the death penalty for convicted murderers,https://petition.parliament.uk/petitions/601972,open,277
Give a one-off £500 grant to every student starting university or college,https://petition.parliament.uk/petitions/601973,open,21
Require children attending school to isolate whilst waiting for a PCR result,https://petition.parliament.uk/petitions/601985,open,22
"Introduce inspections & safety ratings for beauty, nails and aesthetic services",https://petition.parliament.uk/petitions/602001,open,92
Ensure GCSE and A level exams take place in 2022,https://petition.parliament.uk/petitions/602009,open,19
Make possession of child sex dolls illegal,https://petition.parliament.uk/petitions/602017,open,363
