Petition,URL,State,Signatures Count
Establish Care Charter to guarantee acceptable standards for Health & Homecare.,https://petition.parliament.uk/petitions/306043,open,36
Introduce tax savings for gym membership salary sacrifice schemes,https://petition.parliament.uk/petitions/319149,open,17
Pressure the Chinese government regarding the detention of Kazakhs in Xinjiang,https://petition.parliament.uk/petitions/324712,open,32
Legalise the use of LSD and Psilocybin for Medical and Recreational Use,https://petition.parliament.uk/petitions/324749,open,491
Additional funding for Covid-19 vaccine trials without animal testing,https://petition.parliament.uk/petitions/325785,open,100
Establish an independent body to protect consumers and regulate car rentals,https://petition.parliament.uk/petitions/326282,open,134
Ban the advertisement and sale of weight loss products such as injections,https://petition.parliament.uk/petitions/326474,open,85
Place automatic bail conditions on persons who commit offences against children,https://petition.parliament.uk/petitions/326614,open,26
Make it law that costs incurred due to protest is to be borne by the organiser/s,https://petition.parliament.uk/petitions/326690,open,13
Hold a public vote on HS2 project as it is being paid for by the public,https://petition.parliament.uk/petitions/326850,open,13934
Hold a referendum on establishing a federal system of devolution and government,https://petition.parliament.uk/petitions/327010,open,24
Introduce a National Pet Exchange Register,https://petition.parliament.uk/petitions/328081,open,10657
Refund all or part of citizenship fees when an application is rejected,https://petition.parliament.uk/petitions/328325,open,28
Reform legislation on evidence admissible in sexual assault and rape cases,https://petition.parliament.uk/petitions/328381,open,51
Kara’s law - Increase sentences for drink driving offences,https://petition.parliament.uk/petitions/328932,open,654
Fund legal aid for all families at inquests for deaths following police contact,https://petition.parliament.uk/petitions/329206,open,39
Ban all black plastic that cannot be detected by NIR (recycling) technology.,https://petition.parliament.uk/petitions/329332,open,460
Require common allergen labelling on cosmetics in line with food labelling,https://petition.parliament.uk/petitions/329417,open,29
Provide weekly Covid 19 tests for NHS staff and care workers,https://petition.parliament.uk/petitions/329535,open,38
Fund regular Vitamin D and Pth testing for Chronic Kidney Disease patients,https://petition.parliament.uk/petitions/329550,open,20
Greater regulation of online gambling including stake limits,https://petition.parliament.uk/petitions/329551,open,30
Require public sector vehicles be purchased or leased from UK manufacturers,https://petition.parliament.uk/petitions/329565,open,57
Fund green apprenticeships,https://petition.parliament.uk/petitions/329632,open,37
Scrap stamp duty on additional properties,https://petition.parliament.uk/petitions/329854,open,70
Impose a Robin Hood tax on banker bonuses as part of the Covid economic recovery,https://petition.parliament.uk/petitions/329872,open,24
Make domestic abuse workplace policies mandatory in England and Wales,https://petition.parliament.uk/petitions/329892,open,101
Establish a residential programme of social & practical skills for young people,https://petition.parliament.uk/petitions/329906,open,46
