Petition,URL,State,Signatures Count
Revoke the right of registered sex offenders to change their name by deed poll,https://petition.parliament.uk/petitions/300705,open,20349
Establish Care Charter to guarantee acceptable standards for Health & Homecare.,https://petition.parliament.uk/petitions/306043,open,32
Require housing for all homeless people after the coronavirus crisis,https://petition.parliament.uk/petitions/311860,open,202
Prevent employees being dismissed for lawful communications made outside work,https://petition.parliament.uk/petitions/313806,open,22
Give the reigning monarch more power in British politics.,https://petition.parliament.uk/petitions/314555,open,23
Form an emergency cross-party Government to handle the climate emergency,https://petition.parliament.uk/petitions/314767,open,78
Allow parents of NHS workers to come to the UK as their dependents.,https://petition.parliament.uk/petitions/315055,open,2946
Any hours of free childcare lost during lockdown to be used for rest of 2020,https://petition.parliament.uk/petitions/315740,open,21
Make it illegal for people to Smoke/Vape in a queue during the Covid19 outbreak.,https://petition.parliament.uk/petitions/316014,open,27
Increase funding for NHS Adult Mental Health Services,https://petition.parliament.uk/petitions/316023,open,480
Allow Tier 2 dependent visa Doctors switch to Tier 2 visa in the UK for training,https://petition.parliament.uk/petitions/316185,open,9
Reduce ministerial salaries by 20% in solidarity with furloughed workers,https://petition.parliament.uk/petitions/316784,open,62
Double Carers Allowance and pay in addition to other benefits,https://petition.parliament.uk/petitions/316843,open,22
"FIONA'S LAW - Women should be allowed a yearly Cervical screening
 
",https://petition.parliament.uk/petitions/317336,open,2462
Create NHS immunity from prosecution for negligence claims.,https://petition.parliament.uk/petitions/317464,open,13
Enable the recall of politicians found guilty of lying during an election,https://petition.parliament.uk/petitions/317470,open,1273
End funding for Action Fraud and create a new fraud and cybercrime centre,https://petition.parliament.uk/petitions/317496,open,24
Abolish the Mental Health Act and legislate for new forms of support,https://petition.parliament.uk/petitions/317620,open,104
Ban the sale of all animals from pet shops and third-party sellers,https://petition.parliament.uk/petitions/317648,open,10255
Give new fathers a right to six weeks paid paternity leave,https://petition.parliament.uk/petitions/317734,open,667
Stop Chinese State-Owned companies from buying UK companies or assets,https://petition.parliament.uk/petitions/317749,open,1797
Allow asylum seekers to work if their applications remain undecided for 6 months,https://petition.parliament.uk/petitions/317772,open,150
Reduce the maximum working hours to 30 hours per week after Covid-19 lockdown,https://petition.parliament.uk/petitions/317794,open,38
Make Internet sellers list goods' country of origin.,https://petition.parliament.uk/petitions/317819,open,1317
