Petition,URL,State,Signatures Count
Require practical GCSEs to involve practical work that contributes to the grade.,https://petition.parliament.uk/petitions/329523,open,18
Review Social Services and set up an independent body to review complaints,https://petition.parliament.uk/petitions/574372,open,75
Mandate standard fuel be ethanol-free & allow lower VAT for fuel with ethanol,https://petition.parliament.uk/petitions/604051,open,19
Fund free childcare for all from 3 months to school age,https://petition.parliament.uk/petitions/604838,open,28
Amend the British Museum Act to allow the acceptance of repatriation requests,https://petition.parliament.uk/petitions/606621,open,65
Backdate settled status from beginning of application,https://petition.parliament.uk/petitions/607575,open,37
Extend Bereavement Support Payments to unmarried couples who cohabit,https://petition.parliament.uk/petitions/607729,open,39
Introduce a fast-track divorce procedure for victims of domestic abuse,https://petition.parliament.uk/petitions/607947,open,177
Fund routine testing for Group B Streptococcus during late pregnancy,https://petition.parliament.uk/petitions/608081,open,7741
Automatically remove a Peer of title if found guilty of Child abuse.,https://petition.parliament.uk/petitions/608103,open,45
Review medical care and treatment for babies with failure to thrive,https://petition.parliament.uk/petitions/608495,open,342
Create targeted support for children of parents with a mental illness,https://petition.parliament.uk/petitions/608542,open,782
Increase minimum and maximum sentences for sex offences,https://petition.parliament.uk/petitions/608804,open,252
Grant an amnesty for undocumented migrants after 10 years,https://petition.parliament.uk/petitions/608918,open,48
Make the valuation of DC pensions equivalent to DB pensions,https://petition.parliament.uk/petitions/608958,open,17
Do not give consent to the Rampion2 windfarm extension off the coast of Sussex,https://petition.parliament.uk/petitions/608969,open,77
Make releasing helium balloons and sky lanterns a specific littering offence,https://petition.parliament.uk/petitions/609032,open,112
"Abolish National Insurance and make income tax 12% for all income over £12,570",https://petition.parliament.uk/petitions/609125,open,19
"Ban the Sale, Import and Trade of Animal Fur",https://petition.parliament.uk/petitions/609167,open,53
Extend eligibility for childcare grant to part-time student nurses,https://petition.parliament.uk/petitions/609214,open,26
Make learning about child abuse part of the national curriculum,https://petition.parliament.uk/petitions/609249,open,39
End the use of Prayer Cards to reserve seats in the House of Commons.,https://petition.parliament.uk/petitions/609262,open,37
Ban trading on Sundays,https://petition.parliament.uk/petitions/609304,open,22
Give employees a right to full pay during sick leave,https://petition.parliament.uk/petitions/609305,open,29
Create a new tax for retailers that waste food,https://petition.parliament.uk/petitions/609306,open,17
Fund free mental health courses for in-community volunteers,https://petition.parliament.uk/petitions/609330,open,18
Hold a public inquiry into Russian interference in UK politics,https://petition.parliament.uk/petitions/609388,open,44115
Hold a referendum on re-joining the EU on previous terms,https://petition.parliament.uk/petitions/609420,open,1502
Continue emergency funding for bus services,https://petition.parliament.uk/petitions/609432,open,90
Increase our minimum wages by at least 12.2% in April 2022,https://petition.parliament.uk/petitions/609441,open,77
Reinstate 5% rate of VAT for the hospitality sector,https://petition.parliament.uk/petitions/609482,open,76
"Commit to providing refuge for at least 100,000 Ukrainian women & children.",https://petition.parliament.uk/petitions/609565,open,66
Keep providing free LFTs to school aged children,https://petition.parliament.uk/petitions/609575,open,24
Fund ‘Morpeth Diversion’; a fast alignment around the Morpeth Curve on the ECML,https://petition.parliament.uk/petitions/609577,open,68
Remove barriers to UK residents adopting rescue dogs from Ukraine,https://petition.parliament.uk/petitions/609606,open,5399
Ban all UK trade with Russia and Belarus until Russian troops leave Ukraine,https://petition.parliament.uk/petitions/609639,open,151
Urge the Organisation for Security and Cooperation in Europe to expel Russia,https://petition.parliament.uk/petitions/609664,open,35
Reinstate national service (military or medical) for all aged 18-40,https://petition.parliament.uk/petitions/609680,open,70
Create a fast-track visa for British-employed Ukrainians and their families,https://petition.parliament.uk/petitions/609691,open,180
Add Wales to the Union flag,https://petition.parliament.uk/petitions/609707,open,41
Create a system to house Ukrainian families with children in the UK,https://petition.parliament.uk/petitions/609714,open,67
"Grant Ukrainians, who have over-stayed their visas, leave to remain",https://petition.parliament.uk/petitions/609716,open,214
Create a Government fund that accepts public donations to support Ukraine,https://petition.parliament.uk/petitions/609741,open,39
Seek to negotiate peace in Ukraine without sanctions or military action,https://petition.parliament.uk/petitions/609749,open,117
Reopen all visa services for Ukrainians in Ukraine,https://petition.parliament.uk/petitions/609769,open,49
Require energy suppliers report nation of origin of oil and gas supplies,https://petition.parliament.uk/petitions/609802,open,182
Immediately offer to host a Ukrainian government in exile,https://petition.parliament.uk/petitions/609803,open,69
Stop giving aid to India,https://petition.parliament.uk/petitions/609830,open,664
Increase funding for research into Chronic Kidney Disease (CKD),https://petition.parliament.uk/petitions/609883,open,2497
Require farm animals kept outside be given access to shelter,https://petition.parliament.uk/petitions/609986,open,388
Offer student visas and funding for higher education to students fleeing Ukraine,https://petition.parliament.uk/petitions/610029,open,62
Supply arms to the Ukrainian resistance in Russian-held territory,https://petition.parliament.uk/petitions/610035,open,155
Extend Statutory Sick Pay to workers with multiple jobs earning over £120/week,https://petition.parliament.uk/petitions/610039,open,21
