Petition,URL,State,Signatures Count
Require practical GCSEs to involve practical work that contributes to the grade.,https://petition.parliament.uk/petitions/329523,open,18
Review Social Services and set up an independent body to review complaints,https://petition.parliament.uk/petitions/574372,open,75
Mandate standard fuel be ethanol-free & allow lower VAT for fuel with ethanol,https://petition.parliament.uk/petitions/604051,open,19
Fund free childcare for all from 3 months to school age,https://petition.parliament.uk/petitions/604838,open,28
Amend the British Museum Act to allow the acceptance of repatriation requests,https://petition.parliament.uk/petitions/606621,open,66
Backdate settled status from beginning of application,https://petition.parliament.uk/petitions/607575,open,37
Introduce a fast-track divorce procedure for victims of domestic abuse,https://petition.parliament.uk/petitions/607947,open,182
Fund routine testing for Group B Streptococcus during late pregnancy,https://petition.parliament.uk/petitions/608081,open,7749
Automatically remove a Peer of title if found guilty of Child abuse.,https://petition.parliament.uk/petitions/608103,open,46
Review medical care and treatment for babies with failure to thrive,https://petition.parliament.uk/petitions/608495,open,343
Increase minimum and maximum sentences for sex offences,https://petition.parliament.uk/petitions/608804,open,256
Grant an amnesty for undocumented migrants after 10 years,https://petition.parliament.uk/petitions/608918,open,49
Make the valuation of DC pensions equivalent to DB pensions,https://petition.parliament.uk/petitions/608958,open,17
Make releasing helium balloons and sky lanterns a specific littering offence,https://petition.parliament.uk/petitions/609032,open,115
"Abolish National Insurance and make income tax 12% for all income over £12,570",https://petition.parliament.uk/petitions/609125,open,19
"Ban the Sale, Import and Trade of Animal Fur",https://petition.parliament.uk/petitions/609167,open,54
Extend eligibility for childcare grant to part-time student nurses,https://petition.parliament.uk/petitions/609214,open,26
End the use of Prayer Cards to reserve seats in the House of Commons.,https://petition.parliament.uk/petitions/609262,open,37
Give employees a right to full pay during sick leave,https://petition.parliament.uk/petitions/609305,open,29
Create a new tax for retailers that waste food,https://petition.parliament.uk/petitions/609306,open,17
Continue emergency funding for bus services,https://petition.parliament.uk/petitions/609432,open,90
Reinstate 5% rate of VAT for the hospitality sector,https://petition.parliament.uk/petitions/609482,open,76
Fund ‘Morpeth Diversion’; a fast alignment around the Morpeth Curve on the ECML,https://petition.parliament.uk/petitions/609577,open,69
Sever diplomatic relations with the Russian Federation,https://petition.parliament.uk/petitions/610043,open,1178
"Agree to the publication of the full, unredacted 2020 Russia Report",https://petition.parliament.uk/petitions/610066,open,746
Offer transport to the UK and healthcare to wounded Ukrainians,https://petition.parliament.uk/petitions/610094,open,31
Fund improved benefits and living conditions for asylum seekers,https://petition.parliament.uk/petitions/610115,open,36
Seize frozen Russian assets and give proceeds to Ukraine to help with rebuilding,https://petition.parliament.uk/petitions/610119,open,573
Require local authorities obtain DBS checks before licensing Tattoo Artists,https://petition.parliament.uk/petitions/610127,open,230
Fund routine scans for women to detect Abdominal Aortic Aneurysm (AAA),https://petition.parliament.uk/petitions/610129,open,403
Reform GCSE Mathematics to have 'core' and 'advanced' options,https://petition.parliament.uk/petitions/610161,open,82
"Reduce maximum tuition fees to £7,500 as recommended by the Augar Review 2019",https://petition.parliament.uk/petitions/610164,open,32
Fund more research into diagnosis and treatment of women’s health conditions,https://petition.parliament.uk/petitions/610170,open,245
Council Tax reduction for people on private estates paying management fees,https://petition.parliament.uk/petitions/610177,open,39
Implement the recommendations of the ISC Russia report,https://petition.parliament.uk/petitions/610203,open,677
Legislate to prevent misinformation about the Ukraine conflict on social media,https://petition.parliament.uk/petitions/610238,open,25
Reduce citizenship fees for children,https://petition.parliament.uk/petitions/610242,open,36
Require bus drivers have a 45 minutes break after 4 hours 30 minutes driving,https://petition.parliament.uk/petitions/610244,open,18
Increase funding for existing and new youth clubs,https://petition.parliament.uk/petitions/610248,open,54
Fund the building of communal fallout shelters across the country,https://petition.parliament.uk/petitions/610263,open,36
Make sexual harassment a specific criminal offence,https://petition.parliament.uk/petitions/610269,open,337
Introduce sanctions against Israel for occupation of the West Bank,https://petition.parliament.uk/petitions/610270,open,341
"Remove new protest provisions from Police, Crime, Sentencing and Courts Bill",https://petition.parliament.uk/petitions/610277,open,103
Remove Clause 11 from the Nationality and Borders Bill,https://petition.parliament.uk/petitions/610284,open,1383
Move the state pension age back to 60 for men and women,https://petition.parliament.uk/petitions/610288,open,1163
Ban all imports of Russian oil and gas immediately,https://petition.parliament.uk/petitions/610289,open,812
Facilitate a further Scottish Independence referendum,https://petition.parliament.uk/petitions/610295,open,2520
Exemption for customs documents for all vehicles carrying aid for the Ukraine,https://petition.parliament.uk/petitions/610296,open,36
Provide an energy grant to people with a disability or serious medical condition,https://petition.parliament.uk/petitions/610300,open,16216
Ban import and sale of diamonds from companies owned by the Russian Federation,https://petition.parliament.uk/petitions/610420,open,116
Bring forward legislation to end 'no-fault' section 21 evictions now,https://petition.parliament.uk/petitions/610444,open,37
Do not increase state pension age above 66,https://petition.parliament.uk/petitions/610452,open,35
