Petition,URL,State,Signatures Count
Require practical GCSEs to involve practical work that contributes to the grade.,https://petition.parliament.uk/petitions/329523,open,19
Review Social Services and set up an independent body to review complaints,https://petition.parliament.uk/petitions/574372,open,99
Review traffic signal colours to ensure they meet needs of the colour-blind,https://petition.parliament.uk/petitions/587341,open,8
Amend the British Museum Act to allow the acceptance of repatriation requests,https://petition.parliament.uk/petitions/606621,open,76
Do not increase state pension age above 66,https://petition.parliament.uk/petitions/610452,open,1162
End immunity & let alleged war crime victims sue states like Russia in UK courts,https://petition.parliament.uk/petitions/610463,open,49
Change the Standard Method for calculating local housing need,https://petition.parliament.uk/petitions/611438,open,3656
Require all new motor vehicles be limited to a maximum speed of 80mph,https://petition.parliament.uk/petitions/611676,open,27
Make protection of hedgerows a condition of ELM and BPS subsidies,https://petition.parliament.uk/petitions/612011,open,3858
Change the marriage law in England/Wales from registered buildings to celebrants,https://petition.parliament.uk/petitions/612033,open,86
Provide free bus passes for all over 60's,https://petition.parliament.uk/petitions/612068,open,232
Require and fund training on autism for all staff in mainstream schools,https://petition.parliament.uk/petitions/612259,open,193
Require sanitary bins be provided in men and women's toilets,https://petition.parliament.uk/petitions/612377,open,30
Set stricter legal targets for air quality and increase funding for research,https://petition.parliament.uk/petitions/612379,open,186
"Justice for children incorrectly labelled ""educationally subnormal"" in 1960s/70s",https://petition.parliament.uk/petitions/612398,open,485
Take urgent actions to address the extreme cost of living crisis,https://petition.parliament.uk/petitions/612439,open,1458
Remove offences preventing the humane capture and release of rats,https://petition.parliament.uk/petitions/612610,open,27
Pay Carer's Allowance in addition to any other benefits or state pension,https://petition.parliament.uk/petitions/612708,open,108
Set a target for 70% of UK energy to be renewable by 2030,https://petition.parliament.uk/petitions/612739,open,99
Do not implement a tracking-based road tax system,https://petition.parliament.uk/petitions/613101,open,449
Implement online voting for general elections and referendums in the UK,https://petition.parliament.uk/petitions/613295,open,39
Reform arrangements for practical driving tests to tackle backlog,https://petition.parliament.uk/petitions/613321,open,249
"Make e-skateboards legal to use on roads, pavements & cycle paths",https://petition.parliament.uk/petitions/613460,open,25
Recognise wrongs against Kashmiri Hindus and support return to Kashmir,https://petition.parliament.uk/petitions/613517,open,16
Work internationally to provide army surplus protective clothing to Ukraine,https://petition.parliament.uk/petitions/613822,open,46
Stop Operation Brock & find alternative solution to traffic build-up in Kent,https://petition.parliament.uk/petitions/613834,open,97
Fund grants for installation of solar panels and battery storage for households,https://petition.parliament.uk/petitions/613855,open,123
Fund local authorities to refurbish skate parks,https://petition.parliament.uk/petitions/613945,open,15
Make fines for breaching Covid regulations relative to income,https://petition.parliament.uk/petitions/613947,open,17
Require schools to make Friday a part of the school weekend,https://petition.parliament.uk/petitions/614046,open,565
Create pension parity for men and women born before 1951/53,https://petition.parliament.uk/petitions/614050,open,34
VAT Complete Removal.,https://petition.parliament.uk/petitions/614072,open,60
Impose sanctions on Qatar in light of human rights concerns,https://petition.parliament.uk/petitions/614084,open,119
Increase the work from home expense flat rates for self-employed people,https://petition.parliament.uk/petitions/614104,open,19
Hold a public inquiry into treatment of care home residents during the pandemic,https://petition.parliament.uk/petitions/614106,open,195
Create a duty of care for licensed premises in respect of intoxicated customers,https://petition.parliament.uk/petitions/614108,open,81
Review and increase the income thresholds for Free School Meals,https://petition.parliament.uk/petitions/614134,open,525
Remove face-to-face assessments for PIP renewals,https://petition.parliament.uk/petitions/614170,open,37
Ban umbrella companies charging employees Employers NI,https://petition.parliament.uk/petitions/614178,open,238
Create a regulator for licences to play live or recorded music,https://petition.parliament.uk/petitions/614190,open,73
Suspend Section 25 of the Landlord and Tenant Act (Grounds C to G),https://petition.parliament.uk/petitions/614202,open,45814
Make school uniform VAT exempt,https://petition.parliament.uk/petitions/614214,open,8492
"Reduce the VAT on reusable menstrual products ""Period Pants"" from 20% to 0%",https://petition.parliament.uk/petitions/614222,open,6042
Fund ESOL courses for Ukrainians arriving to UK,https://petition.parliament.uk/petitions/614223,open,18
Extend the energy price cap to communal heat networks,https://petition.parliament.uk/petitions/614232,open,696
