Petition,URL,State,Signatures Count
Require that people apply for planning permission before erecting trampolines,https://petition.parliament.uk/petitions/548155,open,17
Exclude Lifetime ISA (LISA) savings from the Universal Credit savings limit.,https://petition.parliament.uk/petitions/549135,open,82
"Allow Registered Paramedics, Midwives and Nurses to use Green Beacons",https://petition.parliament.uk/petitions/549969,open,41
Allow grades for students with memory loss to be set by continual assessment,https://petition.parliament.uk/petitions/550009,open,476
Early release for all prisoners who have been locked up through covid ,https://petition.parliament.uk/petitions/550490,open,39
Track & trace all sex offenders with electronic tagging,https://petition.parliament.uk/petitions/553059,open,72
Require schools to teach about environmental conservation,https://petition.parliament.uk/petitions/553207,open,30
Extend DfE and Ofsted oversight to private schools,https://petition.parliament.uk/petitions/555121,open,35
Stop courts being able to grant care orders based on risk of future suffering,https://petition.parliament.uk/petitions/556185,open,20
Ensure latex free PCR COVID test kits are available.,https://petition.parliament.uk/petitions/557246,open,414
Create a £3 coin,https://petition.parliament.uk/petitions/559323,open,13
Require licences for cyclists and number plates for all bikes/e-bikes,https://petition.parliament.uk/petitions/561046,open,43
Fund a public awareness campaign that cycling on the pavement is illegal,https://petition.parliament.uk/petitions/563185,open,22
Increase funding for aftercare support for people with eating disorders,https://petition.parliament.uk/petitions/563369,open,102
Increase unemployment benefits to match furlough scheme backdated to March 2020 ,https://petition.parliament.uk/petitions/564261,open,13
Fund a new hospital for Crystal Peaks area Sheffield,https://petition.parliament.uk/petitions/565972,open,16
Give the clinically extremely vulnerable a right to be furloughed,https://petition.parliament.uk/petitions/567499,open,59
Increase fines and introduce community service for breaking Covid restrictions,https://petition.parliament.uk/petitions/569312,open,23
Let Our Children Learn About Peace through the educational curriculum,https://petition.parliament.uk/petitions/569722,open,21
Require e-scooter sellers/makers to make clear they are illegal for public use,https://petition.parliament.uk/petitions/569914,open,125
Scrap the Minimum Income Floor for Self-Employed people on Universal Credit,https://petition.parliament.uk/petitions/570017,open,280
Revoke HC1043 changes that try to stop refugees from finding safety in the UK,https://petition.parliament.uk/petitions/570329,open,302
Give family and friends a right to compassionate leave for attending a funeral,https://petition.parliament.uk/petitions/570368,open,12
Extend Security Industry Authority licences by 12 months due to Covid-19,https://petition.parliament.uk/petitions/570596,open,53
Simplify new Customs procedures for EU and Ireland freight import / export,https://petition.parliament.uk/petitions/570655,open,194
Fund laser hair removal free on the NHS for women with polycystic ovaries (PCOS),https://petition.parliament.uk/petitions/570730,open,138
Prohibit gambling unless individuals are registered members of a gambling shop,https://petition.parliament.uk/petitions/570766,open,110
Issue grants to landlords for lost rental income due to Covid-19,https://petition.parliament.uk/petitions/570831,open,26
Immediate ban on the use of diesel cars and make all public transport free,https://petition.parliament.uk/petitions/570873,open,22
Review barriers to entry to the police as a result of residing outside the UK,https://petition.parliament.uk/petitions/570881,open,10
Ban the culling of male chicks,https://petition.parliament.uk/petitions/570946,open,171
Require schools to operate a 4 day week,https://petition.parliament.uk/petitions/570949,open,23
Ban the use of bots for all online purchase,https://petition.parliament.uk/petitions/570971,open,48
Create a UK Wellbeing and Future Generations Act,https://petition.parliament.uk/petitions/570975,open,14
Create an nationally recognised card for carers,https://petition.parliament.uk/petitions/570980,open,14
Allow families to prevent press reporting of a loved one’s suicide or murder,https://petition.parliament.uk/petitions/570997,open,2395
Public inquiry into why international travel was not suspended due to Covid-19,https://petition.parliament.uk/petitions/571065,open,86
Mandatory testing for hereditary conditions for breeding dogs,https://petition.parliament.uk/petitions/571067,open,136
Create a database of all lost and stolen dogs.,https://petition.parliament.uk/petitions/571192,open,408
Ban the use of plastic 6 pack rings in the UK,https://petition.parliament.uk/petitions/571229,open,4124
Make CCTV compulsory in all taxis including school transport taxis,https://petition.parliament.uk/petitions/571231,open,725
Theory test centres should be considered essential and open during restrictions,https://petition.parliament.uk/petitions/571242,open,7
Ban the manufacture of all products containing plastic in the UK,https://petition.parliament.uk/petitions/571254,open,57
Bar entry to the UK to anyone convicted of public disorder offences/incitement,https://petition.parliament.uk/petitions/571302,open,21
Make all animal hunting illegal for everyone,https://petition.parliament.uk/petitions/571320,open,126
Add parental alienation to the curriculum with mandatory training for teachers,https://petition.parliament.uk/petitions/571340,open,361
Allow all parents studying at university to receive the Child Care Grant (CCG).,https://petition.parliament.uk/petitions/571418,open,39
Create a public register of domestic violence/abuse offenders,https://petition.parliament.uk/petitions/571420,open,1160
Seek to exempt goods purchased online for personal use from import tariffs/taxes,https://petition.parliament.uk/petitions/571460,open,18
Lift the cap on university places for 2021/22 due to impact of COVID-19,https://petition.parliament.uk/petitions/571513,open,22
Make online pornography illegal and require all pornographic content be removed,https://petition.parliament.uk/petitions/571515,open,92
Make it illegal to sell dogs without a licence,https://petition.parliament.uk/petitions/571526,open,2655
Require local authorities to publish all FOI request replies online,https://petition.parliament.uk/petitions/571527,open,512
Increase local authority funding to pay for increase in pay for social workers,https://petition.parliament.uk/petitions/571609,open,261
Public inquiry into sentencing for child sexual offences,https://petition.parliament.uk/petitions/571641,open,55
Extend the 2 years post-study work visas to 2020 Graduates,https://petition.parliament.uk/petitions/571665,open,1367
Make fines proportionate to income,https://petition.parliament.uk/petitions/571685,open,23
Get rid of the theory test for learner drivers.,https://petition.parliament.uk/petitions/571699,open,16
Require all teachers and TAs to have basic mental health training,https://petition.parliament.uk/petitions/571704,open,29
Require all delivery drivers to use electric vehicles by 2025,https://petition.parliament.uk/petitions/571719,open,28
Change law so that any and all poison or means to kill wild rodents is humane,https://petition.parliament.uk/petitions/571764,open,108
"ALL GCSEs to be optional not compulsory,  allowing equal value to ALL subjects",https://petition.parliament.uk/petitions/571771,open,27
Scrap national exams for Key Stage 4 permanently,https://petition.parliament.uk/petitions/571777,open,31
Require all military sexual assault claims be handled by civilian police,https://petition.parliament.uk/petitions/571811,open,363
Change the title of Special  Schools to Support Schools.,https://petition.parliament.uk/petitions/571855,open,31
Ensure any Assisted Dying Bill includes people suffering with dementia,https://petition.parliament.uk/petitions/571862,open,54
Allow interest and charges as a capital expense for sole trader landlords.,https://petition.parliament.uk/petitions/571906,open,32
Increase funding for flood defences for East Anglia,https://petition.parliament.uk/petitions/572026,open,2061
Ban the sale of hamster cages under the size of 620sq inches.,https://petition.parliament.uk/petitions/572052,open,3540
Allow schools to decide what meals they provide,https://petition.parliament.uk/petitions/572070,open,153
Outlaw Smartphones for all under 16's.,https://petition.parliament.uk/petitions/572092,open,27
Make the catering at the Glasgow 2021 UN Climate Change Conference plant-based,https://petition.parliament.uk/petitions/572112,open,1708
Allow couples to give notice and marry/civil partnership over video conference,https://petition.parliament.uk/petitions/572121,open,57
Make gazumping illegal in England,https://petition.parliament.uk/petitions/572136,open,205
Allow driving instructors to continue to use simplified expenses on tax returns.,https://petition.parliament.uk/petitions/572138,open,174
Allow zoos and safari parks to open with social distancing measures in place,https://petition.parliament.uk/petitions/572139,open,12
Require dog grooming businesses to close and extend grants to these businesses,https://petition.parliament.uk/petitions/572159,open,25
Tuition Fee Compensation for International Students in UK Universities,https://petition.parliament.uk/petitions/572202,open,36219
Reverse decision to close legal routes for unaccompanied minors seeking asylum,https://petition.parliament.uk/petitions/572209,open,155
Fund training and resources for GPs for Binge Eating Disorder,https://petition.parliament.uk/petitions/572211,open,14
Set a target for 100% renewable energy by 2022,https://petition.parliament.uk/petitions/572218,open,32
Disability changing facilities and decent access in all venues to be law.,https://petition.parliament.uk/petitions/572230,open,107
Make misogyny and sexism a hate crime,https://petition.parliament.uk/petitions/572287,open,382
Parental rights should be lost if you don't contact your child for a year.,https://petition.parliament.uk/petitions/572289,open,16
Do not cut UK higher education Arts Funding,https://petition.parliament.uk/petitions/572300,open,37127
Physical proof of Pre/Settled status for EU nationals in UK,https://petition.parliament.uk/petitions/572353,open,504
Trespassing should be criminal offense.,https://petition.parliament.uk/petitions/572367,open,32
Temporary sweetheart visas for unmarried partners of UK residents from overseas,https://petition.parliament.uk/petitions/572369,open,153
Trees planted in the grounds of every new home and to be maintained by law,https://petition.parliament.uk/petitions/572398,open,93
"Deposit scheme on  glass, plastic, steel, aluminium bottles and cans.",https://petition.parliament.uk/petitions/572535,open,162
Place Defibrillators and handheld Face pumps into all schools.,https://petition.parliament.uk/petitions/572576,open,105
Change the Road Traffic Act so that the life of an unborn child is acknowledged,https://petition.parliament.uk/petitions/572599,open,21
Grandparents have legal rights to see grandchildren.,https://petition.parliament.uk/petitions/572634,open,312
"Scrapping of the excise duty on the EU CDA recipe, when imported into the UK.",https://petition.parliament.uk/petitions/572674,open,17
Make it a specific offence to lie about your age to engage in sexual activities,https://petition.parliament.uk/petitions/572719,open,37
Review how joint tenancies can be ended following domestic abuse.,https://petition.parliament.uk/petitions/572725,open,209
Adoption of cryptocurrencies as a reserve currency,https://petition.parliament.uk/petitions/572727,open,10
Make it Law to Label Non-Religiously Slaughtered Meat Products.,https://petition.parliament.uk/petitions/572811,open,778
Coordinate with the EU to distribute Covid vaccines to priority groups in Europe,https://petition.parliament.uk/petitions/572830,open,67
Drivers who drop litter should be made to clear litter from the roadsides.,https://petition.parliament.uk/petitions/572880,open,110
Prioritise Covid-19 vaccinations for airport staff who deal with the public,https://petition.parliament.uk/petitions/572937,open,35
Hold a referendum on UK membership of the Trans-Pacific Partnership (CPTPP),https://petition.parliament.uk/petitions/572938,open,80
Prioritise providing excess vaccines to Commonwealth countries.,https://petition.parliament.uk/petitions/572960,open,20
Give Students the Choice Between predicted Grades or Teacher Assessed Grades,https://petition.parliament.uk/petitions/572976,open,36
Introduce statutory paid bereavement leave for loss of family or close friends,https://petition.parliament.uk/petitions/572978,open,17
Reform council tax discount rules for over 65s with dementia,https://petition.parliament.uk/petitions/572993,open,2281
Make the House of Lords more representative of younger people,https://petition.parliament.uk/petitions/573009,open,16
Allow partners to see each other in national lockdown if living apart,https://petition.parliament.uk/petitions/573036,open,11
Make abuse and assault of retail workers a specific criminal offence,https://petition.parliament.uk/petitions/573442,open,33
Allocate Government time to debate the Supported Accommodation Bill,https://petition.parliament.uk/petitions/573686,open,134
"Cancel all GCSE, AS and A level exams until 2024.",https://petition.parliament.uk/petitions/573737,open,33
Suspend extradition to the United Arab Emirates,https://petition.parliament.uk/petitions/573917,open,37
Fund car seat safety education for new parents,https://petition.parliament.uk/petitions/573924,open,39
Prohibit the use of flashing lights by cyclists and runners on the road,https://petition.parliament.uk/petitions/573925,open,38
"Subsidise manufacture and sale of renewable fuels, eg. E85 (Bio ethanol)",https://petition.parliament.uk/petitions/573927,open,431
Make Government and Politics compulsory at Secondary School including for GCSE,https://petition.parliament.uk/petitions/573999,open,439
Seek to eliminate non-Tariff costs to UK-EU movement of goods,https://petition.parliament.uk/petitions/574010,open,38
"Extend Dogs (Protection of Livestock) Act 1953 protections
to all Wildlife",https://petition.parliament.uk/petitions/574020,open,641
Abolish the stamp duty surcharge for second homes for a 12 month period,https://petition.parliament.uk/petitions/574073,open,17
End all military support and arm sales to Saudi Arabia,https://petition.parliament.uk/petitions/574192,open,113
Allow wild camping in England,https://petition.parliament.uk/petitions/574231,open,16348
Give students who got A-level results in 2020 options for alternative grades,https://petition.parliament.uk/petitions/574241,open,102
Remove emergency powers that enable the Government to implement lockdowns,https://petition.parliament.uk/petitions/574243,open,35
