Petition,URL,State,Signatures Count
Revoke the right of registered sex offenders to change their name by deed poll,https://petition.parliament.uk/petitions/300705,open,34175
Establish Care Charter to guarantee acceptable standards for Health & Homecare.,https://petition.parliament.uk/petitions/306043,open,33
Require housing for all homeless people after the coronavirus crisis,https://petition.parliament.uk/petitions/311860,open,241
Form an emergency cross-party Government to handle the climate emergency,https://petition.parliament.uk/petitions/314767,open,82
Make it illegal for people to Smoke/Vape in a queue during the Covid19 outbreak.,https://petition.parliament.uk/petitions/316014,open,33
Allow Tier 2 dependent visa Doctors switch to Tier 2 visa in the UK for training,https://petition.parliament.uk/petitions/316185,open,9
Double Carers Allowance and pay in addition to other benefits,https://petition.parliament.uk/petitions/316843,open,30
"FIONA'S LAW - Women should be allowed a yearly Cervical screening
 
",https://petition.parliament.uk/petitions/317336,open,132523
Reform the education system to end standardised testing for 16-year-olds,https://petition.parliament.uk/petitions/318113,open,14
bring forward the deadline set by the 2008 Climate change act from 2050 to 2030,https://petition.parliament.uk/petitions/318125,open,37
Outlaw the use of ECT,https://petition.parliament.uk/petitions/318434,open,73
Create a fund to reimburse money lost due to Covid-19 wedding cancellations,https://petition.parliament.uk/petitions/318603,open,182
Make it mandatory for all dogs to be on leads on public rights of way.,https://petition.parliament.uk/petitions/318675,open,3727
Legislate to require results of all reviews and consultations to be published,https://petition.parliament.uk/petitions/318697,open,16
Introduce a Climate Change subject to the National School Curriculum,https://petition.parliament.uk/petitions/318835,open,263
Include Social Care within the National Health Service,https://petition.parliament.uk/petitions/319117,open,44
Make weddings affordable by legalising outdoor & marquee wedding ceremonies,https://petition.parliament.uk/petitions/319121,open,330
Remove the requirement for couples to make joint claims for Universal Credit,https://petition.parliament.uk/petitions/319148,open,38
Introduce tax savings for gym membership salary sacrifice schemes,https://petition.parliament.uk/petitions/319149,open,17
Fund schools for the maintenance of machinery used for face shields.,https://petition.parliament.uk/petitions/319150,open,86
Create a new tax on food and toiletry products that contain known carcinogens,https://petition.parliament.uk/petitions/319204,open,14
Fund re-opening of Community Hospital Beds for local vulnerable sick people.,https://petition.parliament.uk/petitions/319223,open,1625
Include unpaid carers in the key workers category,https://petition.parliament.uk/petitions/319234,open,56
In Brexit talks negotiate for continued EU single market membership for the UK,https://petition.parliament.uk/petitions/319241,open,544
Don't ban menthol cigarettes,https://petition.parliament.uk/petitions/319250,open,18
Government to step in with a financial support package for Special Guardians,https://petition.parliament.uk/petitions/319262,open,33
Create a ‘Day of Rest’ in each calendar week as we come out lockdown.,https://petition.parliament.uk/petitions/319264,open,50
Referendum on any treaties that cede UK sovereignty ,https://petition.parliament.uk/petitions/319278,open,956
