Petition,URL,State,Signatures Count
"Allow Registered Paramedics, Midwives and Nurses to use Green Beacons",https://petition.parliament.uk/petitions/549969,open,43
Stop courts being able to grant care orders based on risk of future suffering,https://petition.parliament.uk/petitions/556185,open,435
Increase unemployment benefits to match furlough scheme backdated to March 2020 ,https://petition.parliament.uk/petitions/564261,open,16
Remove emergency powers that enable the Government to implement lockdowns,https://petition.parliament.uk/petitions/574243,open,67
Make MHRA Yellow Card reporting mandatory for all medical professionals,https://petition.parliament.uk/petitions/575496,open,2071
Legalise tandem mobility scooters in the UK,https://petition.parliament.uk/petitions/577506,open,20
Require orange juice cartons to state if they contain Seville Oranges,https://petition.parliament.uk/petitions/579391,open,10
Create legal protections for people who publicly name their abuser,https://petition.parliament.uk/petitions/580186,open,21
Ban the use of animals by the police,https://petition.parliament.uk/petitions/580955,open,58
Introduce an independent regulator to oversee English football,https://petition.parliament.uk/petitions/583476,open,9
Amend PCSC Bill to withdraw power to seize vehicles used as mobile homes,https://petition.parliament.uk/petitions/583903,open,53885
Treat people with pre-settled status as habitually resident for Universal Credit,https://petition.parliament.uk/petitions/584164,open,16
Amend how absences from the UK are calculated for the purpose of settled status,https://petition.parliament.uk/petitions/584166,open,32
Prevent Covid vaccines for children until clinical trials have fully concluded,https://petition.parliament.uk/petitions/584756,open,482
To have all court judges voted for as MPs are voted for,https://petition.parliament.uk/petitions/584854,open,31
No new lockdowns longer than 3 weeks without a referendum,https://petition.parliament.uk/petitions/584994,open,76
"Ban the dissection of animals in schools, colleges and universities",https://petition.parliament.uk/petitions/585009,open,40
Ban local authorities from using education settings as polling stations,https://petition.parliament.uk/petitions/585141,open,13
Reinstate the union learning fund,https://petition.parliament.uk/petitions/585250,open,12
Prohibit schools from breeding or hatching animals,https://petition.parliament.uk/petitions/585321,open,20
Remove Oman from red list,https://petition.parliament.uk/petitions/585352,open,1778
"Introduce new requirements for cyclists/e-scooters: visible ID, licences, etc",https://petition.parliament.uk/petitions/585474,open,8686
Seek to Stop Israel’s Forced Displacement of Palestinians from the West Bank,https://petition.parliament.uk/petitions/585498,open,529
Repeal the 1824 Vagrancy Act and decriminalise rough sleeping,https://petition.parliament.uk/petitions/585570,open,156
Codify the UK Constitution into a single document following public consultation,https://petition.parliament.uk/petitions/585649,open,19
Increase the Lifetime ISA property value cap - for multiple buyers and inflation,https://petition.parliament.uk/petitions/585665,open,39
Establish a more inclusive Honours system: “The Order of British Excellence”,https://petition.parliament.uk/petitions/585674,open,497
Don’t require restaurants and cafes to display calorie counts on menus,https://petition.parliament.uk/petitions/585685,open,584
Add Height to The Equality Act 2010,https://petition.parliament.uk/petitions/585687,open,916
Ban advertising for new combustion engine vehicles,https://petition.parliament.uk/petitions/585708,open,24
Ban fish meals in schools,https://petition.parliament.uk/petitions/585735,open,12
Require work capability assessments to be done by a claimant's GP,https://petition.parliament.uk/petitions/585774,open,18
Provide additional funding for local authorities for youth clubs,https://petition.parliament.uk/petitions/585777,open,126
Create a Task Force to Oversee Drug Procurement for ALL Post Viral Conditions,https://petition.parliament.uk/petitions/585780,open,301
Work with councils to promote wildflower and grassland growth,https://petition.parliament.uk/petitions/585792,open,134
Remove 24 week gestation requirement for a baby loss to be registered,https://petition.parliament.uk/petitions/585851,open,944
Ensure the public inquiry into Covid-19 reports before the next General Election,https://petition.parliament.uk/petitions/585861,open,451
Allow families with under-5s arriving from red list countries to home quarantine,https://petition.parliament.uk/petitions/585863,open,172
Stop the sale of homes to pay for care - Fund free care homes for all,https://petition.parliament.uk/petitions/585876,open,239
Do not ban the import of cropped dogs to the UK,https://petition.parliament.uk/petitions/585877,open,238
