Petition,URL,State,Signatures Count
Require practical GCSEs to involve practical work that contributes to the grade.,https://petition.parliament.uk/petitions/329523,open,11
Review Social Services and set up an independent body to review complaints,https://petition.parliament.uk/petitions/574372,open,13
Increase the HMRC Mileage Rate from 45p/mile to 60p/mile,https://petition.parliament.uk/petitions/600966,open,38137
Mandate standard fuel be ethanol-free & allow lower VAT for fuel with ethanol,https://petition.parliament.uk/petitions/604051,open,17
Fund free childcare for all from 3 months to school age,https://petition.parliament.uk/petitions/604838,open,24
Abolish liquid restrictions for operating aircrew passing security,https://petition.parliament.uk/petitions/605222,open,682
Create a national pass for people with diagnosed hidden disabilities,https://petition.parliament.uk/petitions/605552,open,84
Increase funding to ensure all adults in England have access to an NHS dentist,https://petition.parliament.uk/petitions/605814,open,318
Extend ban on smoking in indoor public places to e-cigarettes and fund research,https://petition.parliament.uk/petitions/606054,open,25
Make local authorities responsible for providing lorry parking,https://petition.parliament.uk/petitions/606082,open,37
Make 'outing' someone's sexuality and/or gender identity a criminal offence.,https://petition.parliament.uk/petitions/606120,open,91
Prevent schools from being able to discriminate against transgender pupils,https://petition.parliament.uk/petitions/606146,open,86
Fund graves for babies regardless of gestational age,https://petition.parliament.uk/petitions/606172,open,354
Government to Give More Power to SFO to Investigate All Financial Institutions,https://petition.parliament.uk/petitions/606376,open,13
Revoke Development Consent for the Riverside Energy Park in SE London,https://petition.parliament.uk/petitions/606479,open,208
Scrap testing requirements for international travel for vaccinated travellers,https://petition.parliament.uk/petitions/606524,open,10
Mandatory training on mental health in all workplaces,https://petition.parliament.uk/petitions/606539,open,18
Allow TV Licence payers to make voluntary additional payments,https://petition.parliament.uk/petitions/606548,open,30
Require all teachers to be trained in supporting children with special needs,https://petition.parliament.uk/petitions/606554,open,297
Subsidise energy prices to offset any increase in the energy price cap,https://petition.parliament.uk/petitions/606586,open,311
End the practice of 'forced adoption' via the family court system,https://petition.parliament.uk/petitions/606589,open,372
Review and reform the Litter Strategy for England,https://petition.parliament.uk/petitions/606595,open,2144
Revise the rules for the Child Benefit High Income Charge’s (CBHIC),https://petition.parliament.uk/petitions/606598,open,256
Develop an Education Health Care Plan template for use by all local authorities,https://petition.parliament.uk/petitions/606602,open,1806
Fund the BBC from general taxation rather than a licence fee,https://petition.parliament.uk/petitions/606617,open,33
Introduce Witness Personal Statements in line with Victim Personal Statements,https://petition.parliament.uk/petitions/606619,open,33
Amend the British Museum Act to allow the acceptance of repatriation requests,https://petition.parliament.uk/petitions/606621,open,38
Changes to both Houses of Parliament.,https://petition.parliament.uk/petitions/606634,open,23
Produce a Farmland Protection Policy to regulate the loss of farmland to solar,https://petition.parliament.uk/petitions/606663,open,8675
End suspended/ non-custodial sentences for men who are violent to girls & womxn,https://petition.parliament.uk/petitions/606685,open,151
Make the discarding of syringes in a public place a specific criminal offence,https://petition.parliament.uk/petitions/606693,open,21
Increase the £450k Lifetime ISA (LISA) house price cap in London,https://petition.parliament.uk/petitions/606699,open,909
Extend Skilled Worker visas to non-managerial hospitality workers,https://petition.parliament.uk/petitions/606704,open,295
Allow people living with a partner to make single claims for Universal Credit,https://petition.parliament.uk/petitions/606711,open,140
Allow victims of domestic abuse to apply for ILR from outside the UK,https://petition.parliament.uk/petitions/606736,open,284
Provide N95/FFP2 or better face masks to the clinically extremely vulnerable,https://petition.parliament.uk/petitions/606740,open,136
Mandatory by-election for MPs who resign from their party or lose the whip,https://petition.parliament.uk/petitions/606743,open,579
Overturn the decision to allow the use of neonicotinoid pesticides,https://petition.parliament.uk/petitions/606788,open,9046
Allow all places of business to have adrenaline auto-injectors on site,https://petition.parliament.uk/petitions/606792,open,73
Increase Environment Agency funding for environmental protection,https://petition.parliament.uk/petitions/606795,open,25
Grant a ‘Covid 19 Remembrance’ Bank Holiday in 2022,https://petition.parliament.uk/petitions/606804,open,20
Require sanitary products are made available in all public and workplace toilets,https://petition.parliament.uk/petitions/606807,open,96
Repeal Section 58 Terrorism Act 2000,https://petition.parliament.uk/petitions/606821,open,14
