Petition,URL,State,Signatures Count
Review traffic signal colours to ensure they meet needs of the colour-blind,https://petition.parliament.uk/petitions/587341,open,11
Abolish police internal complaints systems. Use independent investigators only. ,https://petition.parliament.uk/petitions/590776,open,100
Amend the British Museum Act to allow the acceptance of repatriation requests,https://petition.parliament.uk/petitions/606621,open,98
Create pension parity for men and women born before 1951/53,https://petition.parliament.uk/petitions/614050,open,726
Waive visa requirements for non-UK nationals having a child with a UK national,https://petition.parliament.uk/petitions/614676,open,91
Require all pregnant women to be offered APS 'sticky blood' testing,https://petition.parliament.uk/petitions/616060,open,158
Ban all non-UK residents from owning more than two residential properties,https://petition.parliament.uk/petitions/617615,open,28
"Create absolute rights to defence of person and property, and carrying weapons",https://petition.parliament.uk/petitions/617809,open,38
Ban sale of all sharply pointed knives to the general public,https://petition.parliament.uk/petitions/618277,open,17
Inquiry into the effectiveness of urgent NHS mental health support,https://petition.parliament.uk/petitions/618656,open,40
Review compatibility of detention under MHA with freedom of expression,https://petition.parliament.uk/petitions/618672,open,12
Require scanning of cat and dog microchips by vets,https://petition.parliament.uk/petitions/618812,open,45
Publish data on the deaths of health care staff from Covid 19 by ethnicity,https://petition.parliament.uk/petitions/618945,open,40
Ban schools from setting more than four hours of homework a week,https://petition.parliament.uk/petitions/618953,open,35
Increase awareness of the dangers of swimming in lakes and rivers,https://petition.parliament.uk/petitions/619230,open,387
Require polygraph tests of all new and serving police officers,https://petition.parliament.uk/petitions/619354,open,19
Require all electric vehicles in the UK to use a standardised modular battery,https://petition.parliament.uk/petitions/619518,open,17
"Ban school branding on shirts, polo shirts, trousers and skirts for all schools.",https://petition.parliament.uk/petitions/619526,open,50
Funding for mass scale clinical trials and treatment for post covid neuropathy,https://petition.parliament.uk/petitions/619599,open,35
Regulate and license equestrian livery yards,https://petition.parliament.uk/petitions/619606,open,34
Male circumcision should be made illegal to under 18s unless for medical reasons,https://petition.parliament.uk/petitions/619633,open,65
Require iron content be included on mandatory food nutrition labels.,https://petition.parliament.uk/petitions/619716,open,16
Call an immediate general election to end the chaos of the current government,https://petition.parliament.uk/petitions/619781,open,906369
Revoke policy not to make retrospective award of medals,https://petition.parliament.uk/petitions/619805,open,11
Make each county’s patron saint day a bank holiday for that individual county,https://petition.parliament.uk/petitions/619813,open,14
Create a regulator for courier companies and impose stricter penalties,https://petition.parliament.uk/petitions/619832,open,219
Increase legal protections for people undergoing cosmetic surgery,https://petition.parliament.uk/petitions/619840,open,204
"Fund a railway line to Dunstable, Bedfordshire.",https://petition.parliament.uk/petitions/619900,open,20
Suspend leaving payments for Ministers leaving office from July-September 2022,https://petition.parliament.uk/petitions/619922,open,34
Give employees a right to two days paid leave a year for religious observations,https://petition.parliament.uk/petitions/619950,open,56
Cancel the 2022 House of Commons summer recess,https://petition.parliament.uk/petitions/619968,open,29
"Public Inquiry into the loss of HMS Glorious, Acasta and Ardent",https://petition.parliament.uk/petitions/619976,open,217
Require private car parks issue receipts/tickets stating time paid for,https://petition.parliament.uk/petitions/620014,open,23
If a Prime Minister resigns a general election should be called,https://petition.parliament.uk/petitions/620016,open,870
Rename Religious studies GCSE to Cultural studies and ethics GCSE,https://petition.parliament.uk/petitions/620018,open,14
Ban parents and carers physically punishing their children in England,https://petition.parliament.uk/petitions/620021,open,38
Review handling of rape and sexual offences committed by under 18s,https://petition.parliament.uk/petitions/620030,open,150
Raise minimum wage to £12,https://petition.parliament.uk/petitions/620033,open,209
Set a legal maximum temperature where workers can't be required to work outdoors,https://petition.parliament.uk/petitions/620038,open,47
Fund more NHS Walk-in-Centres to help take pressure off A&E,https://petition.parliament.uk/petitions/620062,open,61
Protect SIA-licensed security workers under Assaults on Emergency Workers Act,https://petition.parliament.uk/petitions/620064,open,126
Create an ‘Adult ADHD strategy’ to improve diagnosis and treatment,https://petition.parliament.uk/petitions/620084,open,3213
Make the NHS Pension scheme tax-unregistered,https://petition.parliament.uk/petitions/620093,open,11530
Revert legislation governing firearms to the Firearms Act 1937,https://petition.parliament.uk/petitions/620102,open,72
Recognise the Isaaq Genocide,https://petition.parliament.uk/petitions/620132,open,208
Require schools to allow students to wear PE kit all day when over 24 degrees,https://petition.parliament.uk/petitions/620136,open,25
Ban gender-based dress codes in schools and workplaces,https://petition.parliament.uk/petitions/620169,open,51
Fund placenta measurements for all pregnant women on the NHS,https://petition.parliament.uk/petitions/620177,open,2551
Fund improved training on and care provision for ME/CFS as recommended,https://petition.parliament.uk/petitions/620200,open,2890
Reinstate 4 year minimum supervision for those on parole under life licence,https://petition.parliament.uk/petitions/620209,open,50
Fund improved facilities for ostomates in disabled toilets,https://petition.parliament.uk/petitions/620218,open,84
Require vets to do a full health check when pets have their jabs,https://petition.parliament.uk/petitions/620226,open,71
Remove penalty points from minimum penalty for speeding,https://petition.parliament.uk/petitions/620235,open,23
Long Covid - increase funding for research and treatment,https://petition.parliament.uk/petitions/620237,open,61
"Add option to vote for "" None of the above"" in all elections",https://petition.parliament.uk/petitions/620251,open,297
Fund expedited treatment for babies born with tongue tie,https://petition.parliament.uk/petitions/620258,open,1426
Require schools teach about Islam as part of religious education,https://petition.parliament.uk/petitions/620259,open,429
Introduce a discounted TV License for students,https://petition.parliament.uk/petitions/620262,open,31
Recognise Teaching Assistants as an important asset to schools by raising wage.,https://petition.parliament.uk/petitions/620264,open,85256
Increase Universal Credit to match National Living Wage and change savings rules,https://petition.parliament.uk/petitions/620275,open,53
Reform education to tackle racism,https://petition.parliament.uk/petitions/620278,open,88
Entertainment for Everyone Charter: Stop Disability Discrimination at Festivals,https://petition.parliament.uk/petitions/620283,open,514
Require Secretaries of State to have relevant qualifications/experience,https://petition.parliament.uk/petitions/620286,open,39
Mandatory Mental Health Training for all educational and early years staff,https://petition.parliament.uk/petitions/620295,open,138
