Petition,URL,State,Signatures Count
Require practical GCSEs to involve practical work that contributes to the grade.,https://petition.parliament.uk/petitions/329523,open,18
Review Social Services and set up an independent body to review complaints,https://petition.parliament.uk/petitions/574372,open,26
Increase the HMRC Mileage Rate from 45p/mile to 60p/mile,https://petition.parliament.uk/petitions/600966,open,40639
Mandate standard fuel be ethanol-free & allow lower VAT for fuel with ethanol,https://petition.parliament.uk/petitions/604051,open,18
Fund free childcare for all from 3 months to school age,https://petition.parliament.uk/petitions/604838,open,28
Fund graves for babies regardless of gestational age,https://petition.parliament.uk/petitions/606172,open,357
Revoke Development Consent for the Riverside Energy Park in SE London,https://petition.parliament.uk/petitions/606479,open,209
Amend the British Museum Act to allow the acceptance of repatriation requests,https://petition.parliament.uk/petitions/606621,open,60
Changes to both Houses of Parliament.,https://petition.parliament.uk/petitions/606634,open,35
List ‘Class’ as a Protected Characteristic in the UK’s Equality Act (2010).,https://petition.parliament.uk/petitions/607386,open,115
Make it a legal requirement for all drivers to carry their licence when driving,https://petition.parliament.uk/petitions/607497,open,239
Reintroduce Capital Punishment for Crimes Against Humanity,https://petition.parliament.uk/petitions/607499,open,24
Prohibit social media companies from removing content that isn’t spam or illegal,https://petition.parliament.uk/petitions/607528,open,29
Scrap all charges for NHS services in England,https://petition.parliament.uk/petitions/607538,open,23
Legally ban the consumption of alcohol in the workplace,https://petition.parliament.uk/petitions/607554,open,29
Urgently & Substantially build up the UK Armed Force's conventional Capabilities,https://petition.parliament.uk/petitions/607559,open,90
Backdate settled status from beginning of application,https://petition.parliament.uk/petitions/607575,open,37
Extend Bereavement Support Payments to unmarried couples who cohabit,https://petition.parliament.uk/petitions/607729,open,39
Ban the use of prepayment meters for energy provision.,https://petition.parliament.uk/petitions/607746,open,160
Allow Pension withdrawal to use as a mortgage deposit,https://petition.parliament.uk/petitions/607822,open,17
"Ban gambling adverts on TV, Radio and social media before 9pm",https://petition.parliament.uk/petitions/607852,open,225
Set up a pilot Drug Consumption Room to establish the benefits of DCR’s.,https://petition.parliament.uk/petitions/607860,open,73
Create a new inheritance tax allowance for gifts towards a child's first home,https://petition.parliament.uk/petitions/607864,open,20
