Petition,URL,State,Signatures Count
Hold a referendum on establishing a federal system of devolution and government,https://petition.parliament.uk/petitions/327010,open,37
Fund free childcare for all pre-school pupils,https://petition.parliament.uk/petitions/332146,open,37
Ban the sale of non-refundable flight tickets.,https://petition.parliament.uk/petitions/333683,open,22
Require that people apply for planning permission before erecting trampolines,https://petition.parliament.uk/petitions/548155,open,14
Exclude Lifetime ISA (LISA) savings from the Universal Credit savings limit.,https://petition.parliament.uk/petitions/549135,open,51
Allow grades for students with memory loss to be set by continual assessment,https://petition.parliament.uk/petitions/550009,open,472
Early release for all prisoners who have been locked up through covid ,https://petition.parliament.uk/petitions/550490,open,34
Compulsory psychological exams and racial bias training for the UK Police Force,https://petition.parliament.uk/petitions/552552,open,53
Track & trace all sex offenders with electronic tagging,https://petition.parliament.uk/petitions/553059,open,61
Require schools to teach about environmental conservation,https://petition.parliament.uk/petitions/553207,open,26
Implement regular competency assessments of Ministers to inform training plans,https://petition.parliament.uk/petitions/553322,open,386
"Require jurors in Child Abuse/Rape trials be educated on the ""Five Fs""",https://petition.parliament.uk/petitions/555055,open,38
Extend DfE and Ofsted oversight to private schools,https://petition.parliament.uk/petitions/555121,open,34
Expand the symptoms list for Covid-19 to more than the three currently stated,https://petition.parliament.uk/petitions/555257,open,24
Stop courts being able to grant care orders based on risk of future suffering,https://petition.parliament.uk/petitions/556185,open,10
Allow victims of domestic abuse to claim housing benefit in arrears,https://petition.parliament.uk/petitions/556893,open,54
Ensure latex free PCR COVID test kits are available.,https://petition.parliament.uk/petitions/557246,open,231
Make mobile operators register all numbers with the TPS automatically,https://petition.parliament.uk/petitions/557715,open,13
Include university Art courses in those allowed to remain open,https://petition.parliament.uk/petitions/558252,open,59
Martial Arts Schools should be recognised as essential education.,https://petition.parliament.uk/petitions/558300,open,24
Consider hair loss clinics to be essential businesses during lockdown situations,https://petition.parliament.uk/petitions/558331,open,40
Provider Relief Scheme to be extended for education providers due to COVID.,https://petition.parliament.uk/petitions/558394,open,19
Create a COVID rating system for leisure facilities & increase financial aid.,https://petition.parliament.uk/petitions/558406,open,8
Inquiry into treatment of those with mental disorders by justice system,https://petition.parliament.uk/petitions/558444,open,349
Provide regular Covid testing for hospice staff,https://petition.parliament.uk/petitions/558727,open,41
Reform the DWP’s Third Party Deductions Policy for low income claimants.,https://petition.parliament.uk/petitions/558733,open,12
Ban cows with calves from being kept in fields with public access,https://petition.parliament.uk/petitions/558762,open,1186
Reopen application pathway of BN(O),https://petition.parliament.uk/petitions/558847,open,1479
Make the 2021 second payment on account optional for self-employed taxpayers.,https://petition.parliament.uk/petitions/558874,open,6
Require paper bags be available at all supermarket and Grocery shop.,https://petition.parliament.uk/petitions/558976,open,29
Require mobile phones sold in the UK to be repairable by consumers,https://petition.parliament.uk/petitions/559016,open,1090
Increase corporation tax to fund the furlough scheme,https://petition.parliament.uk/petitions/559089,open,13
Extend the contributions based employment allowance,https://petition.parliament.uk/petitions/559110,open,38
New parents on Statutory Maternity to receive 80% of their wage.,https://petition.parliament.uk/petitions/559135,open,1312
Support families of Shielders to also Shield to protect their loved ones.,https://petition.parliament.uk/petitions/559141,open,22
Allocated time for fireworks to be set off on 5th November.,https://petition.parliament.uk/petitions/559230,open,57
Pay parents that have to take time off due to school covid closures,https://petition.parliament.uk/petitions/559231,open,59
"Create visitation rights for siblings full, step or half",https://petition.parliament.uk/petitions/559274,open,40
Create a £3 coin,https://petition.parliament.uk/petitions/559323,open,8
Make Noise Nuisance and light pollution a Criminal Offence,https://petition.parliament.uk/petitions/559394,open,240
Ban call spoofing with intent to defraud,https://petition.parliament.uk/petitions/559402,open,120
Create a wildlife corridor in place of HS2,https://petition.parliament.uk/petitions/559409,open,2716
Provide clarification on the new Graduate Route Visa,https://petition.parliament.uk/petitions/559430,open,212
Ban the sale of angora clothing in the UK,https://petition.parliament.uk/petitions/559453,open,27
Support Companies and Staff to work from Home with a Work From Home Grant,https://petition.parliament.uk/petitions/559507,open,22
Allow a referendum on devolving powers to a Yorkshire Regional Parliament,https://petition.parliament.uk/petitions/559524,open,1456
Extend Tier 4 Visas for International Students expiring in January 2021.,https://petition.parliament.uk/petitions/559530,open,18
Require all Landlords to allow individuals claiming DSS to rent during Covid-19,https://petition.parliament.uk/petitions/559541,open,13
Ban unaccompanied adults from all childrens' play areas. ,https://petition.parliament.uk/petitions/559591,open,32
Negotiate a military & economic alliance with Taiwan (Republic of China),https://petition.parliament.uk/petitions/559643,open,78
"Overhaul current, flawed EPCs so that they are fair, accurate & relevant.",https://petition.parliament.uk/petitions/559700,open,1362
Make Home Economics mandatory in the National Curriculum.,https://petition.parliament.uk/petitions/559765,open,22
Epileptic seizure first aid for all staff in childcare and education settings,https://petition.parliament.uk/petitions/559893,open,34
Extend Visa extensions for health workers during coronavirus (COVID-19),https://petition.parliament.uk/petitions/560059,open,9
Ban the taking of photographs of children without parental consent,https://petition.parliament.uk/petitions/560090,open,106
"Keep 'After School Activities' & Youth Work, open for children in lockdown",https://petition.parliament.uk/petitions/560310,open,24
Stop the intended ban on hybrid cars,https://petition.parliament.uk/petitions/560591,open,24
Allow criminal injuries compensation for victims with unspent convictions,https://petition.parliament.uk/petitions/560763,open,9
Require licences for cyclists and number plates for all bikes/e-bikes,https://petition.parliament.uk/petitions/561046,open,25
Limit UK Magistrates’ Courts in High Covid Areas to Remand Cases Only,https://petition.parliament.uk/petitions/561492,open,14
Make sunbed shops have to advertise the health risks of sunbeds like cigarettes.,https://petition.parliament.uk/petitions/561493,open,61
Tougher sentencing on all motor vehicle related deaths.,https://petition.parliament.uk/petitions/561528,open,127
