Petition,URL,State,Signatures Count
Deport all foreign and dual nationals convicted of any crime in the UK,https://petition.parliament.uk/petitions/574896,open,481
Create a right to appeal for people convicted under law which is later reformed.,https://petition.parliament.uk/petitions/590485,open,949
"Allow visa-free travel for Indian, Pakistani and Bangladeshi citizens 90 days",https://petition.parliament.uk/petitions/590994,open,10
Amend the Health and Care Bill to protect the NHS.,https://petition.parliament.uk/petitions/592557,open,46602
"Do not require a Covid passport for access to any services, jobs or events",https://petition.parliament.uk/petitions/593122,open,7072
Ban transport of puppies for sale & limit the size of breeding establishments ,https://petition.parliament.uk/petitions/593463,open,584
Make Covid-19 PCR tests available at a fixed cost and use income to fund the NHS,https://petition.parliament.uk/petitions/594091,open,17
Use proportional representation for all local elections,https://petition.parliament.uk/petitions/594174,open,85
Appoint a government Tsar to champion the reduction of knife crime,https://petition.parliament.uk/petitions/594666,open,22
Mandatory biannual reapplication for all firearm licences,https://petition.parliament.uk/petitions/594831,open,20
Make mental safety equal at work with physical safety,https://petition.parliament.uk/petitions/594864,open,39
Give HE Traffic Officers powers to issue fines and use blue lights,https://petition.parliament.uk/petitions/595001,open,16
The UK to lead the effort to resettle Afghans fleeing the Taliban,https://petition.parliament.uk/petitions/595023,open,21
Grant rights to reside to all Afghans in the UK,https://petition.parliament.uk/petitions/595076,open,2009
Require all employers to provide space for breastfeeding mothers to express milk,https://petition.parliament.uk/petitions/595090,open,375
Increase duty free wine limit from EU to UK from 18 litres to 36,https://petition.parliament.uk/petitions/595179,open,32
Ensure pregnant women are offered their second vaccination after 3 weeks,https://petition.parliament.uk/petitions/595345,open,13
Require the DVLA to provide detailed reasons for decisions and accept appeals,https://petition.parliament.uk/petitions/595353,open,108
Ban the use of plastic food packaging,https://petition.parliament.uk/petitions/595495,open,121
Extend travel exemptions for fully vaccinated to those receiving mixed vaccines,https://petition.parliament.uk/petitions/595622,open,250
Fraud case court conviction fines to be paid directly to the police,https://petition.parliament.uk/petitions/595651,open,43
Make covid-19 booster vaccines available to vulnerable 6 months after 2nd dose,https://petition.parliament.uk/petitions/595683,open,33
Ban employers asking job applicants for salary history and current earnings,https://petition.parliament.uk/petitions/595699,open,474
Make companies legally responsible for accepting and recycling their old goods,https://petition.parliament.uk/petitions/595717,open,39
Require parental consent for all medical treatment for children aged under 16,https://petition.parliament.uk/petitions/595767,open,8620
"Change current road tax to one, three, six or twelve months",https://petition.parliament.uk/petitions/595774,open,16
Fund improved mental health aftercare for veterans,https://petition.parliament.uk/petitions/595791,open,493
Hold an inquiry into the implementation of Serenity Integrated Mentoring,https://petition.parliament.uk/petitions/595797,open,10
Make it a criminal offence to feed bread to ducks,https://petition.parliament.uk/petitions/595801,open,18
Create a Government manufacturing leadership forum for small and medium firms,https://petition.parliament.uk/petitions/595803,open,19
Refund University tuition fees for 20/21 due to Covid-19,https://petition.parliament.uk/petitions/595815,open,40
Give a bonus to troops involved in the evacuation effort in Afghanistan,https://petition.parliament.uk/petitions/595829,open,21
An immediate evacuation of British Afghans' Families in Afghanistan,https://petition.parliament.uk/petitions/595839,open,217
Introduce VAT on meat products and stop subsiding animal agriculture,https://petition.parliament.uk/petitions/595855,open,70
"Require labels saying ""may contain"" an allergen list the specific allergen",https://petition.parliament.uk/petitions/595860,open,1304
Remove Dominican Republic from Red List countries,https://petition.parliament.uk/petitions/595906,open,2138
Offer eligible families free school meal vouchers instead of a school meal,https://petition.parliament.uk/petitions/595921,open,23
Introduce mandatory training/regulations for private users of jet skis,https://petition.parliament.uk/petitions/595952,open,21
All dental nurses in England to receive Covid bonus,https://petition.parliament.uk/petitions/595955,open,1897
Exempt Afghans who worked with UK forces from citizenship fees,https://petition.parliament.uk/petitions/595988,open,176
Make it a legal requirement for drivers to give priority to recovery vehicles,https://petition.parliament.uk/petitions/595999,open,59
Join the Beyond Oil and Gas Alliance and commit to its end date for fossil fuels,https://petition.parliament.uk/petitions/596001,open,313
Outlaw discrimination on the basis of vaccination status,https://petition.parliament.uk/petitions/596004,open,1898
Fund routine prostate cancer screening tests for men from the age of 50,https://petition.parliament.uk/petitions/596006,open,364
Ban plastic for being used to attach tags/labels to clothes.,https://petition.parliament.uk/petitions/596022,open,53
Decrease tax on overtime hours.,https://petition.parliament.uk/petitions/596044,open,195
Remove Brazil from the Red to the Amber list,https://petition.parliament.uk/petitions/596048,open,18793
Make cyberbullying a specific criminal offence,https://petition.parliament.uk/petitions/596049,open,55
Introduce laws that require all businesses to respond to every job application,https://petition.parliament.uk/petitions/596054,open,14
Scrap Smart Motorways & reinstate hard shoulders,https://petition.parliament.uk/petitions/596063,open,1117
Require all staff at soft play centres be DBS checked,https://petition.parliament.uk/petitions/596074,open,194
Make those aged 65+ eligible to a mobility element for disability benefits,https://petition.parliament.uk/petitions/596087,open,169
Make all repeat prescriptions free,https://petition.parliament.uk/petitions/596097,open,78
Require police disclose & allow reported Non-Crime Hate Incidents be challenged,https://petition.parliament.uk/petitions/596106,open,1827
Force all electric car chargers to accept credit cards,https://petition.parliament.uk/petitions/596119,open,38
Add PCOS and endometriosis to the national curriculum,https://petition.parliament.uk/petitions/596120,open,552
Allow UK residents & citizens to quarantine at home after arrival from Pakistan,https://petition.parliament.uk/petitions/596128,open,109
Ban the advertisement of plastic and non-recyclable toys to children,https://petition.parliament.uk/petitions/596131,open,44
Mandate and fund Independent Sexual Violence Advisor at universities,https://petition.parliament.uk/petitions/596138,open,28
Revoke the UK's extradition treaty with India with immediate effect,https://petition.parliament.uk/petitions/596150,open,12743
Require employers pay employees for mandatory work breaks,https://petition.parliament.uk/petitions/596152,open,83
"Mandatory random drug tests every 6 months for all MPs, Lords & Special Advisors",https://petition.parliament.uk/petitions/596154,open,1533
Implement Tier 3 visa scheme which is currently suspended,https://petition.parliament.uk/petitions/596158,open,11
Ensure remaining UK Citizens and ARAP approved are evacuated from Afghanistan,https://petition.parliament.uk/petitions/596160,open,481
Stop Day 2 Tests for Green List and Fully Vaccinated Amber Arrivals,https://petition.parliament.uk/petitions/596161,open,142
Require disclosure of all memberships to apply for or hold public office,https://petition.parliament.uk/petitions/596162,open,163
Fund independent mental health advocates for all informal mental health patients,https://petition.parliament.uk/petitions/596170,open,31
Prevent Council Tax bills being charged for individual bedroom lets,https://petition.parliament.uk/petitions/596175,open,2216
The government to overturn the decision to replace E5 petrol with the E10 type.,https://petition.parliament.uk/petitions/596189,open,3622
