Petition,URL,State,Signatures Count
Require practical GCSEs to involve practical work that contributes to the grade.,https://petition.parliament.uk/petitions/329523,open,19
Review traffic signal colours to ensure they meet needs of the colour-blind,https://petition.parliament.uk/petitions/587341,open,9
Abolish police internal complaints systems. Use independent investigators only. ,https://petition.parliament.uk/petitions/590776,open,90
Amend the British Museum Act to allow the acceptance of repatriation requests,https://petition.parliament.uk/petitions/606621,open,80
Do not increase state pension age above 66,https://petition.parliament.uk/petitions/610452,open,1345
Set stricter legal targets for air quality and increase funding for research,https://petition.parliament.uk/petitions/612379,open,200
"Justice for children incorrectly labelled ""educationally subnormal"" in 1960s/70s",https://petition.parliament.uk/petitions/612398,open,509
Create pension parity for men and women born before 1951/53,https://petition.parliament.uk/petitions/614050,open,679
Waive visa requirements for non-UK nationals having a child with a UK national,https://petition.parliament.uk/petitions/614676,open,90
Make the private slaughter and consumption of cats and dogs illegal,https://petition.parliament.uk/petitions/615095,open,1526
Require all pregnant women to be offered APS 'sticky blood' testing,https://petition.parliament.uk/petitions/616060,open,157
Fund the drug bevacizumab (Avastin) on the NHS to treat colorectal cancer,https://petition.parliament.uk/petitions/616742,open,19759
Include parenting skills in the national curriculum,https://petition.parliament.uk/petitions/616768,open,18
Hold a referendum on the UK's membership of the World Health Organisation,https://petition.parliament.uk/petitions/616964,open,731
Cut the standard VAT rate from 20% to 5%,https://petition.parliament.uk/petitions/617044,open,98
Add more Bull Terrier type dogs to the Dangerous Dogs Act,https://petition.parliament.uk/petitions/617217,open,44
Review the public services involved when someone dies to quicken the process,https://petition.parliament.uk/petitions/617223,open,81
Remove the ban on prisoners voting from the Representation of the People Act,https://petition.parliament.uk/petitions/617274,open,119
Hold an inquiry into Downing St event on 13 November 2020,https://petition.parliament.uk/petitions/617276,open,576
Stop the proposed ban on tethering birds of prey,https://petition.parliament.uk/petitions/617315,open,115
Require online games have child-only servers to help protect children,https://petition.parliament.uk/petitions/617317,open,20
Cancel the energy bill rebate for second homes,https://petition.parliament.uk/petitions/617415,open,176
Ban advertising of alcohol and require health warnings on all alcohol,https://petition.parliament.uk/petitions/617480,open,63
Ban all non-UK residents from owning more than two residential properties,https://petition.parliament.uk/petitions/617615,open,22
Enact the Grenfell Inquiry recommendation on Personal Emergency Evacuation Plans,https://petition.parliament.uk/petitions/617645,open,3008
Build a new UK Parliament building and move Parliament to that building,https://petition.parliament.uk/petitions/617679,open,17
Commission a review into police handling of allegations of spiking,https://petition.parliament.uk/petitions/617716,open,238
Add Romanian to the Modern Languages GCSE ,https://petition.parliament.uk/petitions/617718,open,11149
"Address the Energy, Climate and Environment crisis by investing in Renewables",https://petition.parliament.uk/petitions/617729,open,452
Change the name of the BBC to Britain Today,https://petition.parliament.uk/petitions/617730,open,16
"Make remote working, where possible, a statutory employment right",https://petition.parliament.uk/petitions/617734,open,39
Negotiate with the EU to allow the use of UK issued pet passports as previously,https://petition.parliament.uk/petitions/617737,open,37
Move all Monday bank holidays to a Friday,https://petition.parliament.uk/petitions/617740,open,21
Protect homeowners who use force against intruders from prosecution ,https://petition.parliament.uk/petitions/617746,open,115
"Create absolute rights to defence of person and property, and carrying weapons",https://petition.parliament.uk/petitions/617809,open,27
Create a specific offence of stirring up hatred on grounds of Gender Identity,https://petition.parliament.uk/petitions/617842,open,2019
Raise concerns about the treatment of British Kurds with the Turkish Government,https://petition.parliament.uk/petitions/617843,open,75
Introduce an annual bank holiday to mark the Queen's  Platinum Jubilee,https://petition.parliament.uk/petitions/617859,open,24
Urgently review policy on Ukrainian children seeking to enter UK from Ukraine,https://petition.parliament.uk/petitions/617863,open,736
Increase Carer's Allowance to equal 35hrs at National Minimum Wage,https://petition.parliament.uk/petitions/617874,open,34288
Increase funding for treatment of women with chronic gynaecological conditions,https://petition.parliament.uk/petitions/617903,open,974
Make every employer's Parental Leave policy publicly visible.,https://petition.parliament.uk/petitions/617925,open,59
Provide energy grants for the hospitality sector,https://petition.parliament.uk/petitions/617938,open,27
Referendum on whether the UK should be neutral in the Ukraine/Russia conflict,https://petition.parliament.uk/petitions/617939,open,13513
Ban Fishing and Fish Farming,https://petition.parliament.uk/petitions/617980,open,18
Make it a specific criminal offence to lie to the emergency services,https://petition.parliament.uk/petitions/617990,open,98
Regulation of Property Agents - implement working party recommendations in full,https://petition.parliament.uk/petitions/617995,open,2526
Let all airlines allow pets in the airplanes' cabin to and from the UK.,https://petition.parliament.uk/petitions/618006,open,508
Start free childcare from child's 3rd birthday not the term after,https://petition.parliament.uk/petitions/618008,open,259
Legalize the use of non-lethal weapons such as pepper spray for self-defense.,https://petition.parliament.uk/petitions/618037,open,52
Reduce tax on fuel for domiciliary and community care nurses,https://petition.parliament.uk/petitions/618038,open,502
Bring into effect a ban on research & testing on dogs and cats in the UK,https://petition.parliament.uk/petitions/618053,open,122
To exclude non-guaranteed overtime on child maintenance payments.,https://petition.parliament.uk/petitions/618059,open,26
Change the law so that UK citizens can call a General election,https://petition.parliament.uk/petitions/618068,open,1205
Excuse survivors of domestic  and sexual violence from jury service for life,https://petition.parliament.uk/petitions/618075,open,15
Exempt Looked After children from citizenship fees,https://petition.parliament.uk/petitions/618088,open,10
Provide ring-fenced funding for social housing designed for disabled people,https://petition.parliament.uk/petitions/618089,open,43
Introduce Nutrition as an additional compulsory subject from KS1 - KS4.,https://petition.parliament.uk/petitions/618092,open,14
Adopt plans for a common charging cable for all new electronic portable devices,https://petition.parliament.uk/petitions/618096,open,88
Provide grants for removing asbestos from residential properties,https://petition.parliament.uk/petitions/618098,open,48
Make it illegal for railway workers to go on strike,https://petition.parliament.uk/petitions/618125,open,422
Publish information in Easy Read at the same time as non Easy Read information.,https://petition.parliament.uk/petitions/618139,open,306
Raise stamp duty threshold to families with children in paid-for childcare,https://petition.parliament.uk/petitions/618160,open,14
Ban strike action lasting more than 48 hours,https://petition.parliament.uk/petitions/618165,open,29
Increase Mileage allowance from 45p per mile to 75p per mile,https://petition.parliament.uk/petitions/618171,open,189
Increase protections for new home owners against snags and defects,https://petition.parliament.uk/petitions/618181,open,212
Fund annual health checks for all adults,https://petition.parliament.uk/petitions/618192,open,209
Increase TfL emergency funding to help protect bus routes in London,https://petition.parliament.uk/petitions/618195,open,269
Create an Accessible and Inclusive Parks Fund,https://petition.parliament.uk/petitions/618215,open,217
Make all noise nuisances between 23:00 and 07:00 a criminal offence,https://petition.parliament.uk/petitions/618222,open,85
Increase the tax-free approved Mileage Allowance Payment rate and review yearly.,https://petition.parliament.uk/petitions/618225,open,38
Establish a cross-party commission to agree set UK climate goals and actions,https://petition.parliament.uk/petitions/618226,open,32
Review passenger rights and airline practice following disruption to flights,https://petition.parliament.uk/petitions/618229,open,277
Add 'American Bully' dogs to the list of banned dog breeds,https://petition.parliament.uk/petitions/618243,open,1809
"Revoke local government powers to charge CAZ, LEZ, ZEZ and ULEZ",https://petition.parliament.uk/petitions/618266,open,6368
Equalise support for hosts and refugees through Ukraine visa schemes,https://petition.parliament.uk/petitions/618269,open,22
Ban sale of all sharply pointed knives to the general public,https://petition.parliament.uk/petitions/618277,open,16
Allow drivers to change the spacing on their number plates,https://petition.parliament.uk/petitions/618299,open,164
Impose an age restriction on fizzy drinks of 6 and above,https://petition.parliament.uk/petitions/618307,open,16
"Stronger sentences for online abuse, and fund mental health support",https://petition.parliament.uk/petitions/618310,open,37
"Raise higher rate income tax (40%) threshold to £80,000",https://petition.parliament.uk/petitions/618316,open,276
Prevent landlords giving notice to tenants who are pregnant or have an infant,https://petition.parliament.uk/petitions/618337,open,51
Replace VAT on fuel and fuel duty with one single ‘per litre’ tax,https://petition.parliament.uk/petitions/618338,open,17
Hold a referendum on whether capital punishment should be restored,https://petition.parliament.uk/petitions/618347,open,224
Review the impact of high intensity headlights on road safety,https://petition.parliament.uk/petitions/618353,open,45
Fund free public transport for work-related travel by emergency services workers,https://petition.parliament.uk/petitions/618373,open,42
Provide funding for surgical correction of Pectus Excavatum,https://petition.parliament.uk/petitions/618387,open,1140
Reform A levels to increase contribution of coursework to A level grades,https://petition.parliament.uk/petitions/618391,open,25
Appoint government advisers and Anti-Hatred Working Groups for all faiths,https://petition.parliament.uk/petitions/618395,open,37
Ban iguanas from being kept as house pets.,https://petition.parliament.uk/petitions/618404,open,22
Increase minimum and maximum sentences for child sexual offences,https://petition.parliament.uk/petitions/618407,open,64
Halve fuel duty and remove VAT on fuel prices.,https://petition.parliament.uk/petitions/618421,open,466
Make bars and clubs in the UK legally provide drink covers.,https://petition.parliament.uk/petitions/618424,open,367
Remove the urgency procedure from the Public Health (Control of Disease) Act1984,https://petition.parliament.uk/petitions/618433,open,3360
Urge Nigerian Government to better protect its Christian population,https://petition.parliament.uk/petitions/618443,open,49
Ensure women topless in public do not face indecency charges,https://petition.parliament.uk/petitions/618452,open,42
Withdraw the UK from the European Convention on Human Rights,https://petition.parliament.uk/petitions/618456,open,17479
"Add A Price Cap To Domestic Heatiing Oil, And Reduce/Remove VAT",https://petition.parliament.uk/petitions/618467,open,131
Automatically register fathers on birth certificates,https://petition.parliament.uk/petitions/618471,open,78
Make self-employed people eligible for statutory adoption pay,https://petition.parliament.uk/petitions/618480,open,50
Make it illegal to refuse to employ or dismiss a person based on their tattoos,https://petition.parliament.uk/petitions/618484,open,21
Withdraw from the 1951 Refugee Convention to deter illegal attempts to enter UK,https://petition.parliament.uk/petitions/618492,open,3841
"Inquiry into Debendox and birth defects, and fund compensation",https://petition.parliament.uk/petitions/618494,open,65
Introduce end-of-life payments for people who die before receiving state pension,https://petition.parliament.uk/petitions/618495,open,66
Legal requirement for farms to give cows grass to graze for 6 months of the year,https://petition.parliament.uk/petitions/618498,open,53
Increase penalties for knife crime offences,https://petition.parliament.uk/petitions/618505,open,71
Make computer gaming a compulsory school subject,https://petition.parliament.uk/petitions/618514,open,27
Increase stamp duty on all second home and buy-to-let purchases,https://petition.parliament.uk/petitions/618515,open,45
Legalise all E-Scooter usage where bicycles can be used,https://petition.parliament.uk/petitions/618517,open,235
Change the age of consent to 18,https://petition.parliament.uk/petitions/618519,open,40
Increase penalty for driving whilst using a phone to a driving ban for all,https://petition.parliament.uk/petitions/618522,open,26
Fund increase in police officers in line with population,https://petition.parliament.uk/petitions/618553,open,56
Reduce ATAS processing time,https://petition.parliament.uk/petitions/618554,open,816
Ban all advertising for Gambling on TV and Social Media,https://petition.parliament.uk/petitions/618563,open,59
Decriminalize the TV Licence fee,https://petition.parliament.uk/petitions/618566,open,355
Automatically grant equal access rights following separation,https://petition.parliament.uk/petitions/618584,open,45
Ban advertising and sale of domestic pets online,https://petition.parliament.uk/petitions/618615,open,57
Make the DSL role in schools a stand-alone role with no other responsibility,https://petition.parliament.uk/petitions/618641,open,12
Allow the flying of Suffrage flag as a symbol of women's equality,https://petition.parliament.uk/petitions/618644,open,2133
Bring the Green Homes Grant Voucher Scheme back!,https://petition.parliament.uk/petitions/618652,open,28
Include siblings and cousins in reunion rules for pre- and settled status,https://petition.parliament.uk/petitions/618653,open,204
Inquiry into the effectiveness of urgent NHS mental health support,https://petition.parliament.uk/petitions/618656,open,34
"Raise the tax personal allowance reduction threshold from £100,000 to £150,000",https://petition.parliament.uk/petitions/618660,open,37
"Raise the standard Personal TAX Allowance from £12,570 to £20,000",https://petition.parliament.uk/petitions/618661,open,10123
Place a complete ban on the sale and use of disposable BBQ’s in the UK,https://petition.parliament.uk/petitions/618664,open,27710
Seek working holiday visa for young Britons to live and work in EEA countries,https://petition.parliament.uk/petitions/618665,open,20
End pilot scheme of electronically tagging asylum-seeking people,https://petition.parliament.uk/petitions/618671,open,55
Review compatibility of detention under MHA with freedom of expression,https://petition.parliament.uk/petitions/618672,open,12
Extend NHS Free prescription to those who have a mental health condition.,https://petition.parliament.uk/petitions/618679,open,32
"Bring back the Death Penalty for child sexual abuse, rape and murder",https://petition.parliament.uk/petitions/618680,open,3087
Fund free chicken pox vaccinations for all children,https://petition.parliament.uk/petitions/618688,open,94
Support Bangladesh with more emergency relief aid due to flooding,https://petition.parliament.uk/petitions/618691,open,71
Fund fruit trees for public parks and green spaces,https://petition.parliament.uk/petitions/618693,open,74
Make sales of all clothing and shoes for under 16s VAT free,https://petition.parliament.uk/petitions/618703,open,26
Require schools teach about 'stigmatization' in primary school,https://petition.parliament.uk/petitions/618709,open,19
Ban retailers (shops/newsagents/etc) from setting a minimum card spend,https://petition.parliament.uk/petitions/618724,open,20
Require schools to allow children to wear shorts and skirts in hot weather,https://petition.parliament.uk/petitions/618742,open,1058
Endorse and implement the Plant Based Treaty,https://petition.parliament.uk/petitions/618747,open,1258
Require all newly planted woodland include a corridor of mixed deciduous trees,https://petition.parliament.uk/petitions/618749,open,40
"Grant 100% relief on business rates for retail, hospitality & leisure until 2024",https://petition.parliament.uk/petitions/618750,open,54
Fund increased pay and mental health support for midwives,https://petition.parliament.uk/petitions/618753,open,17
Negotiate sustainable catch limits for all 5 UK cod stocks with the EU in 2022.,https://petition.parliament.uk/petitions/618769,open,10407
Fund extension of 16-17 Railcard to 18 year olds in full-time education,https://petition.parliament.uk/petitions/618774,open,726
Stop the age discrimination for wages. Pay all ages the National Living Wage.,https://petition.parliament.uk/petitions/618790,open,82
Make 'stolen valour' - false claims about military service - a criminal offence,https://petition.parliament.uk/petitions/618793,open,124
Fund free access to period products,https://petition.parliament.uk/petitions/618799,open,116
Review UK foreign policy in light of reports of Israeli apartheid,https://petition.parliament.uk/petitions/618802,open,15294
Make it mandatory for Police & CPS to provide counselling to ALL victims of CSA,https://petition.parliament.uk/petitions/618805,open,1366
Increase Legal Aid funding to help clear the backlog of criminal cases,https://petition.parliament.uk/petitions/618811,open,46
Require scanning of cat and dog microchips by vets,https://petition.parliament.uk/petitions/618812,open,41
Allow members of the public to ask questions at PMQ's in Parliament,https://petition.parliament.uk/petitions/618820,open,46
Review Business Mileage and Fuel Rates Allowance,https://petition.parliament.uk/petitions/618845,open,29
Fund councils to provide more accessible and secure cycle lanes,https://petition.parliament.uk/petitions/618864,open,39
Review how the NHS determine whether people are a healthy weight,https://petition.parliament.uk/petitions/618870,open,21
Ban anyone born after 2008 from buying any tobacco products in their lifetime,https://petition.parliament.uk/petitions/618875,open,199
Increase free childcare for working parents with children under school age,https://petition.parliament.uk/petitions/618895,open,326
Make VAT on Second Hand clothing zero rated,https://petition.parliament.uk/petitions/618896,open,367
Scrap smart motorways and invest savings in the NHS instead,https://petition.parliament.uk/petitions/618910,open,133
Tighter restrictions on companies marketing vape kits at children & young people,https://petition.parliament.uk/petitions/618911,open,812
Save the bees: cut hazardous pesticides and support nature-friendly farming,https://petition.parliament.uk/petitions/618926,open,23069
Do not allow the use of agency workers to replace staff on strike,https://petition.parliament.uk/petitions/618935,open,124
Extend 15 hours free childcare to all 2-year old children,https://petition.parliament.uk/petitions/618939,open,118
Fund free NHS parking permits for student nurses and midwives,https://petition.parliament.uk/petitions/618942,open,157
Publish data on the deaths of health care staff from Covid 19 by ethnicity,https://petition.parliament.uk/petitions/618945,open,38
Ban schools from setting more than four hours of homework a week,https://petition.parliament.uk/petitions/618953,open,31
"Fund evacuation of Afghans, with UK relocation offers, trapped in Afghanistan",https://petition.parliament.uk/petitions/618960,open,964
Remove references to 'gender identity' from relationships education guidance,https://petition.parliament.uk/petitions/618970,open,5028
"Ban petrol leaf blowers which harm human health, animals and the environment",https://petition.parliament.uk/petitions/618978,open,403
"Grant full citizenship to British citizens by descent, and their children",https://petition.parliament.uk/petitions/618999,open,42
Urge China to allow direct flights between the UK and China to resume,https://petition.parliament.uk/petitions/619025,open,12
Condemn the US for overturning legal rights to abortion,https://petition.parliament.uk/petitions/619039,open,65
Require all cyclists and motor cyclists to wear high visibility clothing.,https://petition.parliament.uk/petitions/619054,open,21
Fund research and awareness campaign on Pelvic Organ Prolapse,https://petition.parliament.uk/petitions/619064,open,103
Fund pay rises for teachers in line with inflation,https://petition.parliament.uk/petitions/619072,open,61
Extend the £650 cost of living payments to contributions-based ESA claimants,https://petition.parliament.uk/petitions/619085,open,73
Raise the Pension Credit income threshold to equivalent of National Living Wage,https://petition.parliament.uk/petitions/619088,open,29
Set up sufficient abortion services in Northern Ireland,https://petition.parliament.uk/petitions/619098,open,139
Reduce income tax rates for NHS staff,https://petition.parliament.uk/petitions/619099,open,78
Recognise and convert the Moldovan driving license to a UK license,https://petition.parliament.uk/petitions/619151,open,26
Decriminalise abortion,https://petition.parliament.uk/petitions/619159,open,422
Introduce a ‘Transparency Law’ requiring social workers to wear body cameras,https://petition.parliament.uk/petitions/619166,open,125
Reduce or remove VAT from sales of Automated External Defibrillators (AED),https://petition.parliament.uk/petitions/619171,open,463
Require health professionals notify DVLA of all 'notifiable' medical conditions,https://petition.parliament.uk/petitions/619181,open,163
Exclude US States that restrict abortion rights from any new US-UK trade deal,https://petition.parliament.uk/petitions/619182,open,31
Increase Defence Spending to at least 3% of the United Kingdom’s GDP,https://petition.parliament.uk/petitions/619184,open,26
Make self-defence part of the secondary Physical Education curriculum,https://petition.parliament.uk/petitions/619189,open,80
Remove indemnity from the manufacturers of covid-19 vaccines,https://petition.parliament.uk/petitions/619190,open,15443
To remove or increase the upper earnings limit on Carers Allowance,https://petition.parliament.uk/petitions/619193,open,711
Increase awareness of the dangers of swimming in lakes and rivers,https://petition.parliament.uk/petitions/619230,open,376
Create a higher rate of Carer's Allowance for people providing 70+ hours care,https://petition.parliament.uk/petitions/619232,open,229
Require fuel outlets to display the cost of fuel per gallon,https://petition.parliament.uk/petitions/619244,open,12
Increase funding for diagnosis and treatment of speech and language needs,https://petition.parliament.uk/petitions/619250,open,303
Reduce the content in 2023 GCSE and A Level exams,https://petition.parliament.uk/petitions/619258,open,48
Public inquiry into treatment of people with mental health issues by the DWP,https://petition.parliament.uk/petitions/619267,open,531
Fund bowel cancer screening from age 30,https://petition.parliament.uk/petitions/619283,open,256
Include abortion rights in the Bill of Rights,https://petition.parliament.uk/petitions/619334,open,167381
Ban the sale of Household flea sprays in shops and online.,https://petition.parliament.uk/petitions/619337,open,99
Require polygraph tests of all new and serving police officers,https://petition.parliament.uk/petitions/619354,open,13
Allow parents to bring nursing babies into the Commons Chamber,https://petition.parliament.uk/petitions/619356,open,17
Apply to join the Single Market and Customs Union at the earliest opportunity,https://petition.parliament.uk/petitions/619362,open,3528
Ensure needs of autistic people are met in any future pandemic response,https://petition.parliament.uk/petitions/619371,open,1028
