Petition,URL,State,Signatures Count
Ban spitting in the street especially in light of the covid-19 threat,https://petition.parliament.uk/petitions/300213,open,270
Revoke the right of registered sex offenders to change their name by deed poll,https://petition.parliament.uk/petitions/300705,open,17080
Lower VAT to 5% on UK hotels and holidays after we leave the EU,https://petition.parliament.uk/petitions/300759,open,9
Providing Government funding for pilot training.,https://petition.parliament.uk/petitions/300784,open,78
Stop Proposed A303 Stonehenge Tunnel,https://petition.parliament.uk/petitions/301503,open,26
Require Social Services to Record All Meetings,https://petition.parliament.uk/petitions/301637,open,287
Legislate to restrict aircraft from running their engines while on hold,https://petition.parliament.uk/petitions/302155,open,84
All prison sentences for all crimes are to be served in full before parole.,https://petition.parliament.uk/petitions/302312,open,65
Remove citizenship fees for people born in the UK and from long term residents.,https://petition.parliament.uk/petitions/303625,open,85
"Require all public access toilet doors to be push to open, when exiting.",https://petition.parliament.uk/petitions/304237,open,41
Legislate to limit interest rates on lending during Covid-19 outbreak,https://petition.parliament.uk/petitions/304268,open,60
Give registry offices powers to demand medical evidence and order DNA testing.,https://petition.parliament.uk/petitions/304894,open,113
Reimburse losses to pension funds resulting from Covid-19,https://petition.parliament.uk/petitions/305122,open,23
Prevent companies making employees redundant or laying them off due to COVID-19,https://petition.parliament.uk/petitions/305475,open,30
Government to fund parallel running of mass production for all Covid-19 trials.,https://petition.parliament.uk/petitions/305727,open,13
Allow tax free bonuses,https://petition.parliament.uk/petitions/305767,open,11
"Fund free Travel, Parking, Hotel & Childcare during COVID-19 for NHS staff",https://petition.parliament.uk/petitions/305854,open,227
Fund free TV for all patients in NHS hospitals. ,https://petition.parliament.uk/petitions/305879,open,49
"Grant for the disabled people, to assist with social isolation.",https://petition.parliament.uk/petitions/306019,open,59
Establish Care Charter to guarantee acceptable standards for Health & Homecare.,https://petition.parliament.uk/petitions/306043,open,25
Government to pay rent or mortgage of all UK citizens during Covid-19 outbreak,https://petition.parliament.uk/petitions/306150,open,16
Refuse any request to suspend requirements for airlines to compensate customers,https://petition.parliament.uk/petitions/306197,open,21
Waive taxes on gift vouchers issued by independent businesses,https://petition.parliament.uk/petitions/306220,open,10
Raise the speed limit on UK motorways to 90 miles per hour,https://petition.parliament.uk/petitions/306312,open,106
Extend rights to access public funds and apply for Indefinite Leave to Remain,https://petition.parliament.uk/petitions/306335,open,112
Take immediate action to find and isolate COVID-19 cases and recent contacts,https://petition.parliament.uk/petitions/306369,open,78
Enable schools to pay overtime for lost holidays during Covid-19 quarantine,https://petition.parliament.uk/petitions/306385,open,17
Protect essential workers from contracting and spreading Covid-19.,https://petition.parliament.uk/petitions/306387,open,22
Please deliver basic food and other provisions to each person in UK during CV,https://petition.parliament.uk/petitions/306394,open,26
Bring back national service.,https://petition.parliament.uk/petitions/306432,open,442
Make it illegal to sell products above the RRP,https://petition.parliament.uk/petitions/306433,open,18
Allow Gift Aid on charity donations made with loyalty points during COVID-19,https://petition.parliament.uk/petitions/306589,open,127
Protect the NHS and healthcare workers from legal action during COVID19,https://petition.parliament.uk/petitions/306608,open,67
Allow landlords full tax relief on finance costs such as mortgage interest,https://petition.parliament.uk/petitions/306655,open,74
Ensure that the national minimum wage is a living wage.,https://petition.parliament.uk/petitions/306660,open,636
Extend maternity leave by 3 months with pay in light of COVID-19,https://petition.parliament.uk/petitions/306691,open,238849
Introduce a ~5% SOCIAL RESPONSIBILITY tax to all workers and corporations,https://petition.parliament.uk/petitions/306697,open,12
No Extensions to the Brexit Transition Period,https://petition.parliament.uk/petitions/306862,open,20672
Frontline pharmacy staff given same protective wear as hospital frontline.,https://petition.parliament.uk/petitions/306886,open,36
Supply surgical masks to be used by the general public,https://petition.parliament.uk/petitions/306950,open,38
Require schools and universities to start the academic year in January 2021,https://petition.parliament.uk/petitions/306954,open,202
Remove requirement to make joint claims for Universal Credit during Covid-19,https://petition.parliament.uk/petitions/306965,open,47
Pass into law a windfall tax for all businesses that profit from coronavirus.,https://petition.parliament.uk/petitions/306971,open,48
Stop advanced and budgeting repayments on universal credit until Covid-19 goes,https://petition.parliament.uk/petitions/307011,open,31
Free school meals for children of key workers who still need to attend school,https://petition.parliament.uk/petitions/307016,open,37
Allow gyms and leisure centres to reopen,https://petition.parliament.uk/petitions/307146,open,135993
Limit Universal Credit & Working Tax Credit increases to those affected by virus,https://petition.parliament.uk/petitions/307149,open,9
Fund a seed pack for everyone in the UK so they can be self sufficient.,https://petition.parliament.uk/petitions/307167,open,29
"List all UK security personnel as ""Key Workers"" during the current crisis.",https://petition.parliament.uk/petitions/307202,open,47
Stop the planned increase to the Immigration Health Surcharge,https://petition.parliament.uk/petitions/307321,open,1939
Omit the NHS from any future trade deal with the US,https://petition.parliament.uk/petitions/307339,open,110067
Make any bailouts for UK airlines conditional on reducing emissions,https://petition.parliament.uk/petitions/307345,open,353
Fund free broadband for vulnerable households during social distancing.,https://petition.parliament.uk/petitions/307371,open,38
Reimburse health care professionals for professional registration fees,https://petition.parliament.uk/petitions/307399,open,329
"Create a symptom reporting site, where people with Covid-19 symptoms self-report",https://petition.parliament.uk/petitions/307405,open,21
