Petition,URL,State,Signatures Count
"Allow Registered Paramedics, Midwives and Nurses to use Green Beacons",https://petition.parliament.uk/petitions/549969,open,43
Stop courts being able to grant care orders based on risk of future suffering,https://petition.parliament.uk/petitions/556185,open,22
Create a £3 coin,https://petition.parliament.uk/petitions/559323,open,14
Increase unemployment benefits to match furlough scheme backdated to March 2020 ,https://petition.parliament.uk/petitions/564261,open,16
Fund laser hair removal free on the NHS for women with polycystic ovaries (PCOS),https://petition.parliament.uk/petitions/570730,open,146
Remove emergency powers that enable the Government to implement lockdowns,https://petition.parliament.uk/petitions/574243,open,58
Fund free HRT on the NHS for women experiencing the menopause,https://petition.parliament.uk/petitions/575472,open,5434
Make MHRA Yellow Card reporting mandatory for all medical professionals,https://petition.parliament.uk/petitions/575496,open,1933
Abolish or reduce immigration fees for Commonwealth Service Personnel,https://petition.parliament.uk/petitions/575976,open,35
Change the way universal credit works for 4 weekly paid employees.,https://petition.parliament.uk/petitions/576183,open,101
Replace the Landfill Tax with a waste premium,https://petition.parliament.uk/petitions/577264,open,17
Extend local authorities' duty to support young people with EHCPs to age 27,https://petition.parliament.uk/petitions/577404,open,39
Make flexible working requests available to all with presumption of approval,https://petition.parliament.uk/petitions/577459,open,39
Legalise tandem mobility scooters in the UK,https://petition.parliament.uk/petitions/577506,open,19
Make Post Study Work Visa Count Towards Settlement,https://petition.parliament.uk/petitions/577943,open,5485
Create new requirements for breeding and selling dogs,https://petition.parliament.uk/petitions/578168,open,136
Make polyamorous marriages legal in England and Wales,https://petition.parliament.uk/petitions/578186,open,60
VALERIE'S LAW Compulsory Training for Agencies Supporting Black DV Victims,https://petition.parliament.uk/petitions/578416,open,65441
Ban the use of animals as prizes at fairs and other events,https://petition.parliament.uk/petitions/579356,open,1390
Create a Police Code of Practice: Engaging with people with mental health issues,https://petition.parliament.uk/petitions/579379,open,17
Require orange juice cartons to state if they contain Seville Oranges,https://petition.parliament.uk/petitions/579391,open,10
Cap monthly Council Tax payments to no more than 8% of net income,https://petition.parliament.uk/petitions/579654,open,55
Update the law on murder and incorporate the offence into statutory law,https://petition.parliament.uk/petitions/579830,open,10
Prohibit the use of cameras to monitor the activity of staff,https://petition.parliament.uk/petitions/579897,open,30
Make sending unsolicited nudes a specific criminal offence,https://petition.parliament.uk/petitions/579912,open,1859
Increased funding for treatment of long covid and other chronic conditions,https://petition.parliament.uk/petitions/579919,open,53
"Sanction the Pakistani government for failing to protect LGBT communities
",https://petition.parliament.uk/petitions/580099,open,48
I would like the UK to re-introduce the imperial weights and measure system.,https://petition.parliament.uk/petitions/580102,open,18
"Reinstate Passport renewals adding time left to new passport, as per prior 2018",https://petition.parliament.uk/petitions/580131,open,55
Create legal protections for people who publicly name their abuser,https://petition.parliament.uk/petitions/580186,open,20
Do not change the voting system for Mayoral and PCC elections to FPTP,https://petition.parliament.uk/petitions/580226,open,6442
Require tracking devices to be fitted to all motor vehicles to help cut crime,https://petition.parliament.uk/petitions/580443,open,19
Create a Government department for the protection of women and girls,https://petition.parliament.uk/petitions/580462,open,250
Abolish University Tuition Fees For All Students,https://petition.parliament.uk/petitions/580498,open,176
Public inquiry into the drop in prosecutions for rape and other sexual offences,https://petition.parliament.uk/petitions/580587,open,634
Change Gross Vehicle Weight Restrictions for Vehicles drivable on a Car Licence,https://petition.parliament.uk/petitions/580643,open,31
Fund pay rise for Police Officers,https://petition.parliament.uk/petitions/580694,open,80
Increase funding for teacher training & equipment to support left-handed pupils,https://petition.parliament.uk/petitions/580710,open,15
Allow widowed/single parents of British Citizens to live in the UK as dependants,https://petition.parliament.uk/petitions/580826,open,1102
All drivers should take driving test every 15 years for validation of licence,https://petition.parliament.uk/petitions/580896,open,12
